uid,gid,player,solo,comb,sck,saf,blk,ints,pdef,frcv,forc,tdd,rety,tdret,peny,snp,fp,fp2,game,seas,year,team,posd,jnum,dcp
135582,4230,CB-4770,1,4,0,0,0,0,0,0,0,0,0,0,0,43,3,0,2,5,2015,BUF,NT,97,2
135583,4230,JH-5900,1,2,0,0,0,0,1,0,0,0,0,0,0,51,3,0,2,6,2015,BUF,RDE,55,1
135584,4230,LM-1100,5,0,0,0,0,1,1,0,0,0,0,0,0,54,8,2,2,8,2015,BUF,LCB,21,2
135585,4230,CP-0100,1,1,0,0,0,0,0,0,1,0,0,0,0,57,3.5,0,1,13,2015,NYJ,LOLB,97,1
135586,4230,CG-1700,3,2,0,0,0,0,1,0,0,0,0,0,0,49,5,0,2,9,2015,BUF,FS,20,1
135587,4230,MD-0100,1,2,0,0,0,0,0,0,0,0,0,0,0,37,2,0,2,5,2015,BUF,NT,99,1
135588,4230,AT-0230,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2.5,2,2,1,2015,BUF,WLB,59,2
135589,4230,DH-1400,9,5,2,0,0,0,1,0,0,0,0,0,0,75,16.5,2,1,9,2015,NYJ,LILB,52,1
135590,4230,EH-0600,6,5,0,0,0,0,0,0,0,0,0,0,0,43,8.5,0,1,8,2015,NYJ,LILB,58,2
135591,4230,MW-1800,0,5,0,0,0,0,1,0,0,0,0,0,0,52,3.5,0,1,5,2015,NYJ,LDE,96,1
135592,4230,LW-1350,0,6,0,0,0,0,0,0,0,0,0,0,11,72,3,0,1,1,2015,NYJ,RDT,62,1
135593,4230,DM-1550,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,2,2015,NYJ,LCB,23,2
135594,4230,MW-2300,2,0,1,0,0,0,0,0,0,0,0,0,0,57,4,1,1,10,2015,BUF,LDE,94,1
135595,4230,DH-1850,2,6,0,0,0,0,0,0,1,0,0,0,0,58,7,0,1,4,2015,NYJ,NT,94,1
135596,4230,DD-0250,1,2,0,0,0,0,0,0,0,0,0,0,0,16,2,0,1,4,2015,NYJ,RILB,56,1
135597,4230,DW-3950,1,0,0,0,0,0,1,0,0,0,0,0,0,26,2,0,1,3,2015,BUF,FS,27,2
135598,4230,MB-5300,0,2,0,0,0,0,2,0,0,0,0,0,0,40,3,0,2,5,2015,BUF,LCB,39,3
135599,4230,MG-0600,3,1,0,0,0,0,0,0,0,0,0,0,0,75,3.5,0,1,5,2015,NYJ,FS,21,1
