uid,gid,fpid,tname,drvn,obt,qtr,min,sec,yfog,plays,succ,rfd,pfd,ofd,ry,ra,py,pa,pc,peyf,peya,net,res
99005,4230,692685,NYJ,1,KOFF,1,1,36,20,3,0,0,0,0,0,1,6,2,1,0,5,1,PUNT
99006,4230,692690,BUF,1,PUNT,1,1,2,45,3,0,0,0,0,-5,1,0,2,0,0,0,0,PUNT
99007,4230,692694,NYJ,2,PUNT,1,2,52,10,5,1,1,0,0,15,4,0,1,0,0,0,15,PUNT
99008,4230,692700,BUF,2,PUNT,1,1,36,34,3,0,0,0,0,0,0,0,3,2,0,0,0,PUNT
99009,4230,692704,NYJ,3,PUNT,1,0,52,12,3,0,0,0,0,0,0,-3,3,0,0,5,-8,PUNT
99010,4230,692709,BUF,3,PUNT,1,1,19,75,3,2,1,0,0,25,3,0,0,0,0,0,25,TD
99011,4230,692714,NYJ,4,KOFF,1,1,24,20,3,0,0,0,0,2,1,-1,2,1,0,0,1,PUNT
99012,4230,692718,BUF,4,PUNT,1,6,21,30,13,9,4,1,1,30,8,29,5,4,11,0,70,TD
99013,4230,692733,NYJ,5,KOFF,2,0,53,20,5,1,1,0,0,58,1,0,3,0,0,0,58,MFG
99014,4230,692738,BUF,5,MFG,2,1,0,30,3,0,0,0,0,-1,1,0,2,0,0,0,-1,PUNT
99015,4230,692742,NYJ,6,PUNT,2,1,26,40,3,2,0,2,0,0,0,60,3,3,0,0,60,TD
99016,4230,692747,BUF,6,KOFF,2,9,16,28,15,4,0,3,1,23,9,47,5,4,5,5,70,DWNS
99017,4230,692765,NYJ,7,KOFF,2,0,23,21,1,1,0,0,0,7,1,0,0,0,0,0,7,ENDQ
99018,4230,692767,BUF,7,KOFF,3,0,50,20,2,0,1,0,0,-2,2,0,0,0,5,0,3,FUM
99019,4230,692770,NYJ,8,FUM,3,0,49,77,4,0,0,0,1,2,1,0,2,0,0,0,2,FG
99020,4230,692775,BUF,8,KOFF,3,8,19,15,14,5,0,4,0,12,7,64,6,4,0,10,66,FG
99021,4230,692791,NYJ,9,KOFF,3,3,52,23,11,7,0,5,0,5,1,72,10,6,0,0,77,TD
99022,4230,692804,BUF,9,KOFF,3,1,18,20,3,1,0,0,0,2,1,6,2,1,0,0,8,PUNT
99023,4230,692808,NYJ,10,PUNT,4,4,9,28,9,5,1,2,1,18,4,25,5,2,15,0,58,INT
99024,4230,692818,BUF,10,INT,4,6,54,20,13,5,1,2,0,20,7,36,5,3,0,0,56,FG
99025,4230,692832,NYJ,11,KOFF,4,1,58,20,7,3,1,1,0,6,2,19,5,3,0,0,25,INT
