gid,seas,wk,day,v,h,stad,temp,humd,wspd,wdir,cond,surf,ou,sprv,ptsv,ptsh
4230,2015,17,SUN,NYJ,BUF,Ralph Wilson Stadium,35,70,21,WSW,Cloudy,A Turf Titan,42,-2.5,17,22
4231,2015,17,SUN,NE,MIA,Sun Life Stadium,80,65,7,N,Cloudy,Grass,47,-10,10,20
4232,2015,17,SUN,NO,ATL,Georgia Dome,,,,,Dome,AstroTurf,53,5.5,20,17
4233,2015,17,SUN,BAL,CIN,Paul Brown Stadium,35,67,7,W,Mostly Cloudy,UBU Speed Series S5M,41.5,9.5,16,24
4234,2015,17,SUN,PIT,CLE,FirstEnergy Stadium,34,75,18,W,Cloudy,Grass,47,-10.5,28,12
4235,2015,17,SUN,JAC,HOU,NRG Stadium,,,,,Closed Roof,Grass,45.5,6.5,6,30
4236,2015,17,SUN,TEN,IND,Lucas Oil Stadium,,,,,Closed Roof,AstroTurf,39,3.5,24,30
4237,2015,17,SUN,WAS,DAL,AT&T Stadium,,,,,Closed Roof,AstroTurf,39.5,4,34,23
4238,2015,17,SUN,PHI,NYG,MetLife Stadium,45,38,17,W,Sunny,UBU Speed Series S5M,51,3.5,35,30
4239,2015,17,SUN,DET,CHI,Soldier Field,31,67,15,NW,Cloudy,Grass,45.5,0,24,20
4240,2015,17,SUN,OAK,KC,Arrowhead Stadium,37,56,9,N,Sunny,Grass,43.5,7,17,23
4241,2015,17,SUN,SD,DEN,Sports Authority Field at Mile High,50,21,5,N,Mostly Sunny,Grass,41.5,9,20,27
4242,2015,17,SUN,SEA,ARI,University of Phoenix Stadium,,,,,Closed Roof,Grass,47,6.5,36,6
4243,2015,17,SUN,STL,SF,Levi's Stadium,53,59,6,NNW,Partly Cloudy,Grass,37.5,-3,16,19
4244,2015,17,SUN,TB,CAR,Bank of America Stadium,54,31,4,NW,Partly Cloudy,Grass,46,10.5,10,38
4245,2015,17,SN,MIN,GB,Lambeau Field,24,70,11,W,Cloudy,DD GrassMaster,45.5,3,20,13
4246,2015,18,SAT,KC,HOU,NRG Stadium,,,,,Closed Roof,Grass,40,-3.5,30,0
4247,2015,18,SAT,PIT,CIN,Paul Brown Stadium,51,82,5,SE,Light Rain,UBU Speed Series S5M,45.5,-3,18,16
4248,2015,18,SUN,SEA,MIN,TCF Bank Stadium,-6,,12,W,Clear,FieldTurf,39.5,-5,10,9
4249,2015,18,SUN,GB,WAS,FedEx Field,61,47,14,SW,Cloudy,Grass,45,-1,35,18
4250,2015,19,SAT,KC,NE,Gillette Stadium,38,86,6,WNW,Partly Cloudy,FieldTurf,43,5,20,27
4251,2015,19,SAT,GB,ARI,University of Phoenix Stadium,,,,,Closed Roof,Grass,49.5,7,20,26
4252,2015,19,SUN,SEA,CAR,Bank of America Stadium,43,65,7,NNE,Partly Cloudy,Grass,44,1.5,24,31
4253,2015,19,SUN,PIT,DEN,Sports Authority Field at Mile High,43,36,9,NW,Sunny,Grass,40,7.5,16,23
4254,2015,20,SUN,NE,DEN,Sports Authority Field at Mile High,46,36,6,N,Mostly Sunny,Grass,44.5,-3,18,20
4255,2015,20,SUN,ARI,CAR,Bank of America Stadium,39,39,4,SW,Clear,Grass,47.5,3,15,49
4256,2015,21,SUN,CAR,DEN,Sports Authority Field at Mile High,76,23,16,NE,Sunny,Grass,44.5,-5.5,10,24
