pid,psr,ints,iry
692817,RF-0500,LM-1100,0
692838,RF-0500,ML-0500,0
692845,RF-0500,AT-0230,3
693166,MR-2500,JS-0500,3
693265,RM-0300,VB-0350,0
693348,RM-0300,RM-1600,15
693378,BR-1100,JP-4150,12
693444,BR-1100,CR-1150,38
693447,AD-0680,JH-2100,6
693506,AD-0680,WG-0500,7
693602,BB-2425,AH-0250,0
693641,BH-1900,DH-4000,15
693675,BB-2425,KJ-0100,27
693719,JF-3100,DS-1400,5
693780,ZM-0150,JF-3060,23
693877,KM-2560,WC-0300,24
693980,KM-2560,WB-0700,1
694075,SB-1100,JC-1800,0
694226,JC-6200,JI-0200,0
694264,JC-6200,TW-1750,26
694336,JC-6200,GQ-0100,21
694398,AS-1600,TC-0385,2
694403,DC-0725,RP-0200,0
694404,AS-1600,DA-0950,24
694529,BO-0650,SW-1720,6
694559,BO-0650,AP-1050,39
694654,PR-0300,SK-0200,22
694695,CP-0500,JL-0230,6
694781,DS-3800,ET-0200,10
694823,DS-3800,DS-1730,40
694902,BG-0100,ES-0800,42
695083,JW-5650,TD-0700,22
695158,JW-5650,RM-1900,24
695288,TB-2650,MH-4000,0
695334,AR-1300,XR-0100,0
695367,BH-1900,EB-0800,0
695369,AS-1600,BC-3100,0
695408,BH-1900,JM-1600,20
695414,BH-1900,MP-0950,36
695482,BH-1900,SS-1700,13
695555,AM-1150,AB-1950,35
695660,LJ-1250,VB-0350,0
695748,RW-3850,TW-1187,24
696248,AR-1300,RJ-0900,1
696251,CP-0500,HC-0050,0
696284,CP-0500,DR-0450,0
696338,RW-3850,LK-0600,14
696365,RW-3850,CF-0500,0
696709,TB-2300,VM-0300,4
696737,TB-2300,DS-4300,8
696926,CN-0500,PP-0400,72
696927,CP-0500,KC-1800,0
696979,CP-0500,KC-1800,0
696993,CP-0500,LK-0600,22
696997,CP-0500,TB-1850,5
697080,PM-0200,KE-0050,19
697122,CN-0500,TW-0600,4
