uid,gid,player,pat,fgs,fgm,fgl,fp,game,seas,year,team
8388,4230,DC-0500,1,2,1,0,11,2,8,2015,BUF
8389,4230,RB-4650,2,1,0,0,5,1,4,2015,NYJ
8390,4231,AF-1150,2,2,0,0,8,1,1,2015,MIA
8391,4231,SG-0800,1,1,0,0,4,1,10,2015,NE
8392,4232,SG-1100,2,0,0,1,7,2,16,2015,ATL
8393,4232,KF-0250,2,1,1,0,9,2,5,2015,NO
8394,4233,JT-3950,1,1,1,1,13,2,4,2015,BAL
8395,4233,MN-0800,3,0,0,1,8,2,11,2015,CIN
8396,4234,CB-2275,2,2,0,0,8,2,2,2015,PIT
8397,4234,TC-2450,0,4,0,0,12,1,2,2015,CLE
8398,4235,NN-0200,3,1,0,2,16,1,11,2015,HOU
8399,4235,JM-7000,0,1,1,0,7,2,1,2015,JAC
8400,4236,AV-0400,3,1,1,1,15,1,20,2015,IND
8401,4236,RS-3400,3,0,1,0,7,1,7,2015,TEN
8402,4237,DH-3970,4,2,0,0,10,1,3,2015,WAS
8403,4237,DB-0200,3,0,0,0,3,2,5,2015,DAL
8404,4238,CS-4250,5,0,0,0,5,1,3,2015,PHI
8405,4238,JB-7100,3,2,1,0,13,2,13,2015,NYG
8406,4239,MP-2100,3,0,0,1,8,2,10,2015,DET
8407,4239,RG-1500,2,1,1,0,9,2,11,2015,CHI
8408,4240,CS-0250,3,0,0,0,3,1,2,2015,KC
8409,4240,SJ-0300,2,1,0,0,5,1,16,2015,OAK
8410,4241,BM-1650,3,1,1,0,10,2,3,2015,DEN
8411,4241,JL-0207,2,0,1,1,11,1,1,2015,SD
8412,4242,SH-0400,3,1,0,2,16,2,8,2015,SEA
8413,4242,CC-1150,0,0,0,0,0,2,2,2015,ARI
8414,4243,GZ-2000,1,2,1,0,11,2,4,2015,STL
8415,4243,PD-0200,1,4,0,0,13,2,18,2015,SF
8416,4244,CB-0700,1,1,0,0,4,2,8,2015,TB
8417,4244,GG-0100,5,0,1,0,9,2,7,2015,CAR
8418,4245,BW-0350,2,2,0,0,8,2,4,2015,MIN
8419,4245,MC-3000,1,1,1,0,8,1,9,2015,GB
8420,4246,CS-0250,3,1,2,0,14,2,2,2015,KC
8421,4247,CB-2275,0,4,0,0,12,3,2,2015,PIT
8422,4247,MN-0800,1,1,0,0,4,3,11,2015,CIN
8423,4248,BW-0350,0,1,2,0,11,3,4,2015,MIN
8424,4248,SH-0400,1,0,1,0,5,3,8,2015,SEA
8425,4249,DH-3970,1,1,0,0,4,2,3,2015,WAS
8426,4249,MC-3000,3,1,1,0,10,2,9,2015,GB
8427,4250,SG-0800,3,1,1,0,10,2,10,2015,NE
8428,4250,CS-0250,2,2,0,0,8,3,2,2015,KC
8429,4251,CC-1150,2,2,0,0,8,3,2,2015,ARI
8430,4251,MC-3000,2,2,0,0,8,3,9,2015,GB
8431,4252,GG-0100,4,0,1,0,8,3,7,2015,CAR
8432,4252,SH-0400,3,1,0,0,6,4,8,2015,SEA
8433,4253,BM-1650,0,1,3,1,20,3,3,2015,DEN
8434,4253,CB-2275,1,1,2,0,12,4,2,2015,PIT
8435,4254,BM-1650,2,1,0,1,10,1,3,2015,DEN
8436,4254,SG-0800,0,1,1,0,7,1,10,2015,NE
8437,4255,GG-0100,5,1,1,0,12,1,7,2015,CAR
8438,4255,CC-1150,1,0,0,0,1,1,2,2015,ARI
8439,4256,BM-1650,1,3,0,0,10,1,3,2015,DEN
8440,4256,GG-0100,1,1,0,0,4,1,7,2015,CAR
