pid,kicker,kgro,knet,ktb,kr,kry
692684,JG-0850,65,45,1,,0
692713,JG-0850,65,45,1,,0
692732,JG-0850,65,45,1,,0
692746,RB-4650,69,37,0,WP-0650,32
692764,JG-0850,50,44,0,JC-5900,6
692766,RB-4650,65,45,1,,0
692774,RB-4650,70,50,0,WP-0650,20
692790,JG-0850,66,42,0,AC-2400,24
692803,RB-4650,65,45,1,,0
692831,JG-0850,65,45,1,,0
692847,SG-0800,65,45,1,,0
692868,AF-1150,65,45,1,,0
692902,SG-0800,65,45,1,,0
692926,AF-1150,65,45,1,,0
692928,AF-1150,65,45,1,,0
692935,SG-0800,65,45,1,,0
692995,AF-1150,65,45,1,,0
693011,AF-1150,65,45,1,,0
693018,MB-3000,65,45,1,,0
693037,MB-3000,72,35,0,TC-0050,37
693049,KF-0250,72,47,0,DH-2700,25
693059,MB-3000,71,33,0,TC-0050,38
693070,KF-0250,65,43,0,DH-2700,22
693097,MB-3000,65,45,1,,0
693099,KF-0250,65,45,1,,0
693124,KF-0250,64,38,0,DH-2700,26
693173,JT-3950,65,45,1,,0
693219,JT-3950,65,45,1,,0
693240,JT-3950,61,49,0,CP-0800,12
693251,MN-0800,70,51,0,KC-1250,19
693262,MN-0800,64,47,0,KC-1250,17
693272,MN-0800,63,28,0,KC-1250,35
693288,MN-0800,61,39,0,KC-1250,22
693330,MN-0800,68,40,0,KC-1250,28
693341,JT-3950,9,9,0,,0
693350,TC-2450,64,43,0,MW-1250,21
693370,CB-2275,64,18,0,RM-5050,46
693385,TC-2450,65,45,1,,0
693420,TC-2450,65,45,1,,0
693428,CB-2275,65,45,1,,0
693438,CB-2275,65,46,0,RM-5050,19
693456,CB-2275,59,38,0,RM-5050,21
693475,TC-2450,64,46,0,MW-1250,18
693489,CB-2275,63,37,0,RM-5050,26
693496,CB-2275,72,43,0,RM-5050,29
693521,NN-0200,67,31,0,NM-0250,36
693547,NN-0200,66,41,0,NM-0250,25
693564,NN-0200,65,45,1,,0
693573,JM-7000,65,45,1,,0
693587,NN-0200,65,43,0,NM-0250,22
693612,NN-0200,52,39,0,JB-1350,13
693613,JM-7000,65,45,1,,0
693646,JM-7000,65,45,1,,0
693674,NN-0200,51,43,0,JB-1350,8
693677,NN-0200,65,45,1,,0
693690,RS-3400,65,45,1,,0
693704,PM-0300,65,45,1,,0
693722,RS-3400,69,34,0,QB-0250,35
693728,PM-0300,50,30,1,,0
693741,RS-3400,65,45,1,,0
693750,PM-0300,65,45,1,,0
693775,PM-0300,65,45,1,,0
693777,PM-0300,65,45,1,,0
693782,PM-0300,65,45,1,,0
693794,RS-3400,65,45,1,,0
693821,RS-3400,65,45,1,,0
693843,PM-0300,65,45,1,,0
693854,DH-3970,65,45,1,,0
693871,DH-3970,65,45,1,,0
693882,DH-3970,65,45,1,,0
693894,DH-3970,62,40,0,LW-1150,22
693909,DH-3970,65,45,1,,0
693920,DB-0200,65,45,1,,0
693935,DB-0200,65,45,1,,0
693937,DB-0200,65,45,1,,0
693962,DH-3970,67,42,0,LW-1150,25
693972,DH-3970,65,45,1,,0
693983,TW-1175,70,47,0,LW-1150,23
694009,DB-0200,13,13,0,,0
694019,JB-7100,65,45,1,,0
694026,CS-4250,65,45,1,,0
694052,JB-7100,65,50,0,JH-5750,15
694060,CS-4250,65,45,1,,0
694071,JB-7100,65,45,1,,0
694080,JB-7100,65,45,1,,0
694098,CS-4250,65,45,1,,0
694114,JB-7100,41,32,0,ZE-0100,9
694116,CS-4250,65,45,1,,0
694132,JB-7100,65,45,1,,0
694147,CS-4250,65,45,1,,0
694169,CS-4250,65,45,1,,0
694182,JB-7100,65,45,1,,0
694201,RG-1500,56,42,0,AA-0025,14
694212,SM-0650,73,47,0,DT-1250,26
694268,SM-0650,69,48,0,DT-1250,21
694279,RG-1500,67,52,0,AA-0025,15
694289,RG-1500,65,37,0,AA-0025,28
694299,SM-0650,70,60,0,DT-1250,10
694307,RG-1500,65,45,1,,0
694317,SM-0650,65,18,0,MM-0900,47
694326,RG-1500,64,54,0,AA-0025,10
694343,SJ-0300,65,45,1,,0
694353,CS-0250,69,40,0,TJ-2400,29
694375,CS-0250,73,3,0,TJ-2400,70
694382,SJ-0300,63,49,0,CC-3950,14
694406,SJ-0300,74,40,0,,0
694420,CS-0250,59,36,0,JR-3270,23
694436,MK-0760,47,33,0,SW-0350,14
694443,CS-0250,68,43,0,TJ-2400,25
694487,SJ-0300,14,12,0,TB-2400,2
694499,JL-0207,65,45,1,,0
694503,BM-1650,65,45,1,,0
694514,JL-0207,65,45,1,,0
694564,JL-0207,65,45,1,,0
694583,BM-1650,62,45,0,CV-0200,17
694600,JL-0207,65,45,1,,0
694611,BM-1650,65,45,1,,0
694629,BM-1650,65,45,1,,0
694633,JL-0207,65,45,1,,0
694642,BM-1650,65,45,1,,0
694657,BM-1650,65,45,1,,0
694673,SH-0400,65,45,1,,0
694693,SH-0400,65,45,1,,0
694700,SH-0400,65,45,1,,0
694714,CC-1150,65,45,1,,0
694727,SH-0400,65,45,1,,0
694738,SH-0400,65,45,1,,0
694747,SH-0400,65,45,1,,0
694766,CC-1150,65,45,1,,0
694777,SH-0400,72,55,0,KW-1250,17
694789,SH-0400,65,45,1,,0
694834,BP-0750,68,42,0,BC-3070,26
694851,GZ-2000,60,31,0,BE-0350,29
694870,BP-0750,44,35,0,CR-0750,9
694886,BP-0750,65,45,1,,0
694899,GZ-2000,71,37,0,BE-0350,34
694906,GZ-2000,65,45,1,,0
694918,GZ-2000,37,37,0,,0
694919,GZ-2000,65,45,1,,0
694932,BP-0750,65,45,1,,0
694979,BP-0750,68,45,0,BC-3070,23
695001,GZ-2000,65,45,1,,0
695026,CB-0700,68,41,0,JW-1500,27
695057,CB-0700,66,42,0,JW-1500,24
695069,GG-0100,65,45,1,,0
695080,GG-0100,65,45,1,,0
695092,GG-0100,65,45,1,,0
695102,GG-0100,65,45,1,,0
695117,GG-0100,65,45,1,,0
695133,GG-0100,65,45,1,,0
695144,CB-0700,60,40,1,,0
695171,GG-0100,65,45,1,,0
695191,MC-3000,65,45,1,,0
695202,BW-0350,65,45,1,,0
695219,MC-3000,65,41,0,JM-3450,24
695250,BW-0350,65,45,1,,0
695266,BW-0350,65,45,1,,0
695279,BW-0350,64,38,0,JJ-0775,26
695294,BW-0350,65,45,1,,0
695310,MC-3000,65,45,1,,0
695326,MC-3000,66,-4,0,CP-0750,70
695347,NN-0200,71,-35,0,KD-0450,106
695349,CS-0250,65,45,1,,0
695387,CS-0250,65,45,1,,0
695400,CS-0250,65,45,1,,0
695422,CS-0250,65,45,1,,0
695448,CS-0250,65,45,1,,0
695462,CS-0250,65,45,1,,0
695487,CS-0250,65,45,1,,0
695497,MN-0800,65,45,1,,0
695562,CB-2275,65,45,1,,0
695577,CB-2275,65,45,1,,0
695579,CB-2275,69,47,0,AJ-1200,22
695591,CB-2275,65,45,1,,0
695605,CB-2275,65,45,1,,0
695626,MN-0800,65,45,1,,0
695646,MN-0800,65,45,1,,0
695659,MN-0800,67,51,0,MW-1250,16
695672,CB-2275,69,41,0,AJ-1200,28
695674,SH-0400,62,53,0,CP-0750,9
695702,BW-0350,60,48,0,TL-1025,12
695738,BW-0350,65,45,1,,0
695754,BW-0350,65,45,1,,0
695768,BW-0350,65,45,1,,0
695778,SH-0400,65,43,0,CP-0750,22
695788,SH-0400,67,33,0,CP-0750,34
695815,DH-3970,65,45,1,,0
695829,TM-0800,57,35,0,RR-1150,22
695841,DH-3970,67,45,0,JJ-0775,22
695862,DH-3970,65,45,1,,0
695874,MC-3000,65,45,1,,0
695890,MC-3000,65,45,1,,0
695905,MC-3000,63,45,0,RR-1150,18
695907,MC-3000,64,38,0,RR-1150,26
695918,DH-3970,65,45,1,,0
695931,MC-3000,50,41,0,RR-1150,9
695948,MC-3000,65,45,1,,0
695973,MC-3000,71,50,0,RR-1150,21
695991,CS-0250,65,45,1,,0
696004,SG-0800,68,45,0,KD-0450,23
696022,CS-0250,65,45,1,,0
696061,SG-0800,70,36,0,KD-0450,34
696074,CS-0250,65,45,1,,0
696076,SG-0800,73,40,0,KD-0450,33
696093,SG-0800,65,45,1,,0
696108,CS-0250,70,44,0,KM-0450,26
696117,SG-0800,65,45,1,,0
696128,SG-0800,65,45,1,,0
696160,CS-0250,9,9,0,,0
696166,MC-3000,70,44,0,BG-0750,26
696188,CC-1150,67,40,0,JJ-0775,27
696217,MC-3000,65,45,1,,0
696241,MC-3000,65,45,1,,0
696245,CC-1150,65,45,1,,0
696259,MC-3000,60,49,0,JN-0625,11
696272,CC-1150,65,30,0,JJ-0775,35
696308,CC-1150,65,45,1,,0
696317,CC-1150,66,51,0,JJ-0775,15
696326,MC-3000,65,45,1,,0
696330,SH-0400,65,40,0,JW-1500,25
696336,GG-0100,63,51,0,TL-1025,12
696340,GG-0100,70,40,0,TL-1025,30
696364,GG-0100,65,45,1,,0
696370,GG-0100,65,45,1,,0
696385,GG-0100,65,45,1,,0
696408,GG-0100,65,15,0,TL-1025,50
696414,SH-0400,53,38,0,JW-1500,15
696430,SH-0400,55,47,0,JW-1500,8
696468,SH-0400,45,34,0,JW-1500,11
696488,SH-0400,13,13,0,,0
696492,BM-1650,65,45,1,,0
696502,BM-1650,65,45,1,,0
696523,BM-1650,65,45,1,,0
696530,CB-2275,65,45,1,,0
696546,CB-2275,65,45,1,,0
696575,CB-2275,65,45,1,,0
696591,CB-2275,65,45,1,,0
696608,BM-1650,65,45,1,,0
696644,BM-1650,65,45,1,,0
696654,BM-1650,65,45,1,,0
696660,CB-2275,26,26,0,,0
696662,BM-1650,65,45,1,,0
696682,BM-1650,65,45,1,,0
696700,SG-0800,65,45,1,,0
696714,BM-1650,60,41,0,KM-0450,19
696730,SG-0800,65,45,1,,0
696754,BM-1650,65,45,1,,0
696756,SG-0800,65,45,1,,0
696769,SG-0800,65,45,1,,0
696804,BM-1650,65,45,1,,0
696844,SG-0800,6,3,0,SK-0200,3
696846,GG-0100,65,45,1,,0
696859,GG-0100,65,45,1,,0
696875,GG-0100,65,45,1,,0
696887,GG-0100,65,45,1,,0
696911,CC-1150,65,45,1,,0
696923,GG-0100,60,40,1,,0
696930,CC-1150,67,48,0,FW-0750,19
696943,GG-0100,65,45,1,,0
696957,GG-0100,65,45,1,,0
696969,CC-1150,65,45,1,,0
696992,GG-0100,69,38,0,JN-0625,31
696995,GG-0100,78,59,0,JN-0625,19
697009,GG-0100,63,45,0,AC-0100,18
697020,BM-1650,64,46,0,FW-0750,18
697033,BM-1650,68,44,0,JW-1500,24
697057,GG-0100,60,40,1,,0
697072,BM-1650,65,45,1,,0
697098,BM-1650,65,45,1,,0
697117,BM-1650,65,45,1,,0
697147,GG-0100,65,41,0,AC-0100,24
697169,BM-1650,65,45,1,,0
