uid,gid,player,pa,pc,py,ints,tdp,ra,sra,ry,tdr,trg,rec,recy,tdrec,ret,rety,tdret,fuml,peny,conv,snp,fp,fp2,fp3,game,seas,year,team,posd,jnum,dcp
88026,4230,SR-0700,0,0,0,0,0,9,2,29,0,2,2,0,0,0,0,0,0,0,0,25,2.9,3.9,4.9,1,5,2015,NYJ,RB,22,3
88027,4230,RF-0500,37,16,181,3,2,2,2,12,0,0,0,0,0,0,0,0,0,0,0,57,10.44,13.44,10.44,1,11,2015,NYJ,QB,14,1
88028,4230,ED-0200,0,0,0,0,0,0,0,0,0,9,5,50,1,0,0,0,0,5,0,56,11,13.5,16,1,6,2015,NYJ,RWR,87,1
88029,4230,BM-0300,0,0,0,0,0,0,0,0,0,16,8,126,1,0,0,0,0,0,0,56,18.6,22.6,29.6,1,10,2015,NYJ,LWR,15,1
88030,4230,WP-0650,0,0,0,0,0,0,0,0,0,0,0,0,0,3,68,0,0,0,0,4,0,0,0,2,2,2015,BUF,LWR,16,3
88031,4230,TT-0500,28,18,182,0,0,10,3,46,1,0,0,0,0,0,0,0,0,0,0,75,17.88,17.88,17.88,2,5,2015,BUF,QB,5,1
88032,4230,SW-0450,0,0,0,0,0,0,0,0,0,15,11,136,0,0,0,0,0,0,0,69,13.6,19.1,27.6,2,2,2015,BUF,LWR,14,1
88033,4230,CH-3350,0,0,0,0,0,1,0,4,0,3,1,2,0,0,0,0,0,15,0,62,0.6,1.1,1.6,2,5,2015,BUF,LWR,15,2
88034,4230,JK-1000,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,0,0,0,0,5,0,0,0,1,5,2015,NYJ,LWR,11,3
88035,4230,KT-0450,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,49,0,0,0,1,3,2015,NYJ,RWR,10,2
88036,4230,NO-0150,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,2,1,2015,BUF,TE,84,2
88037,4230,KW-1150,0,0,0,0,0,6,5,24,1,3,3,3,0,0,0,0,0,0,0,15,8.7,10.2,11.7,2,1,2015,BUF,RB,29,2
88038,4230,QE-0100,0,0,0,0,0,0,0,0,0,4,1,5,0,0,0,0,0,0,0,44,0.5,1,1.5,1,2,2015,NYJ,LWR,81,2
88039,4230,KD-0400,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,1,8,2015,NYJ,TE,47,2
88040,4230,CI-0300,0,0,0,0,0,6,5,81,0,0,0,0,0,0,0,0,0,5,0,29,8.1,8.1,8.1,1,6,2015,NYJ,RB,33,1
88041,4230,MG-0650,0,0,0,0,0,24,5,28,0,1,0,0,0,0,0,0,1,0,0,47,0.8,0.8,1.8,2,3,2015,BUF,RB,35,4
88042,4230,GS-0100,0,0,0,0,0,0,0,0,0,5,3,41,0,0,0,0,0,0,0,33,4.1,5.6,7.1,1,5,2015,BUF,RWR,17,2
88043,4230,AD-1300,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,9,0.6,0.6,0.6,2,6,2015,BUF,RB,26,3
88044,4231,RT-0150,38,25,350,0,2,3,1,17,0,0,0,0,0,0,0,0,0,5,0,75,23.7,23.7,26.7,1,4,2015,MIA,QB,17,1
88045,4231,JL-0215,0,0,0,0,0,2,1,6,0,11,6,72,0,5,43,0,0,5,0,62,7.8,10.8,13.8,1,2,2015,MIA,SWR,14,1
88046,4231,LM-1150,0,0,0,0,0,19,4,60,0,2,1,3,0,0,0,0,0,0,0,39,6.3,6.8,7.3,1,4,2015,MIA,RB,26,1
88047,4231,KS-2350,0,0,0,0,0,0,0,0,0,4,1,11,0,0,0,0,0,0,0,20,1.1,1.6,2.1,1,3,2015,MIA,LWR,10,1
88048,4231,KM-0450,0,0,0,0,0,0,0,0,0,2,1,4,0,3,27,0,0,10,0,58,0.4,0.9,1.4,1,4,2015,NE,RWR,82,2
88049,4231,SJ-0200,0,0,0,0,0,14,6,35,1,1,1,20,0,0,0,0,0,0,0,24,11.5,12,12.5,1,12,2015,NE,RB,39,2
88050,4231,TB-2300,21,12,134,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,56,5.26,5.26,5.26,1,16,2015,NE,QB,12,1
88051,4231,BB-2250,0,0,0,0,0,9,3,31,0,2,2,5,0,0,0,0,0,5,0,18,3.6,4.6,5.6,1,4,2015,NE,RB,38,1
88052,4231,DW-3125,0,0,0,0,0,3,2,11,0,3,3,38,0,0,0,0,0,10,0,20,4.9,6.4,7.9,1,2,2015,MIA,RB,34,3
88053,4231,GJ-0400,0,0,0,0,0,0,0,0,0,5,4,74,0,0,0,0,0,0,0,31,7.4,9.4,11.4,1,10,2015,MIA,SWR,85,2
88054,4231,DP-0350,0,0,0,0,0,0,0,0,0,6,5,106,1,0,0,0,0,0,0,68,16.6,19.1,24.6,1,1,2015,MIA,LWR,11,2
88055,4231,JA-0450,0,0,0,0,0,7,1,2,0,0,0,0,0,0,0,0,0,0,0,16,0.2,0.2,0.2,1,1,2015,MIA,RB,33,2
88056,4231,DA-0900,0,0,0,0,0,0,0,0,0,4,2,17,0,1,0,0,0,5,0,23,1.7,2.7,3.7,1,8,2015,NE,LWR,80,1
88057,4231,JC-0400,0,0,0,0,0,0,0,0,0,4,2,6,1,0,0,0,0,0,0,46,6.6,7.6,8.6,1,5,2015,MIA,TE,84,1
88058,4231,BL-0100,0,0,0,0,0,0,0,0,0,4,2,7,0,0,0,0,0,0,0,58,0.7,1.7,2.7,1,6,2015,NE,RWR,19,1
88059,4231,JW-2550,0,0,0,0,0,3,1,5,0,3,2,63,0,0,0,0,0,0,0,23,6.8,7.8,8.8,1,2,2015,NE,RB,28,1
88060,4231,RG-2200,0,0,0,0,0,0,0,0,0,7,2,18,0,0,0,0,0,0,0,55,1.8,2.8,3.8,1,6,2015,NE,TE,87,3
88061,4231,DS-2170,0,0,0,0,0,0,0,0,0,3,3,40,0,0,0,0,0,0,0,48,4,5.5,7,1,3,2015,MIA,TE,80,2
88062,4231,JG-0650,4,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.24,0.24,0.24,1,2,2015,NE,QB,10,2
88063,4231,CH-1290,0,0,0,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0,0,3,0.6,1.1,1.6,1,1,2015,NE,LWR,14,3
88064,4231,SC-0400,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14,0,0,0,1,9,2015,NE,TE,88,1
88065,4232,TH-1600,0,0,0,0,0,16,13,66,1,5,5,41,0,0,0,0,0,0,0,33,16.7,19.2,21.7,2,8,2015,NO,RB,34,1
88066,4232,DB-3800,42,32,323,0,1,3,0,-5,0,0,0,0,0,0,0,0,0,0,0,68,16.42,16.42,19.42,2,15,2015,NO,QB,9,1
88067,4232,TC-0050,1,0,0,0,0,3,1,6,0,6,6,77,0,3,75,0,1,0,0,30,6.3,9.3,13.3,2,4,2015,NO,RB,38,2
88068,4232,BC-1850,0,0,0,0,0,0,0,0,0,8,5,81,0,0,0,0,0,0,0,38,8.1,10.6,13.1,2,2,2015,NO,RWR,16,2
88069,4232,BC-2325,0,0,0,0,0,0,0,0,0,6,5,22,0,0,0,0,0,0,0,57,2.2,4.7,7.2,2,2,2015,NO,RWR,10,1
88070,4232,DH-2700,0,0,0,0,0,0,0,0,0,0,0,0,0,5,73,0,0,0,0,0,0,0,0,2,10,2015,ATL,LWR,17,3
88071,4232,MR-2500,36,24,334,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,67,19.36,20.36,22.36,2,8,2015,ATL,QB,2,1
88072,4232,LT-0550,0,0,0,0,0,0,0,0,0,2,1,8,0,0,0,0,0,10,0,26,0.8,1.3,1.8,1,3,2015,ATL,TE,80,2
88073,4232,DF-1875,0,0,0,0,0,24,9,81,0,4,2,18,1,0,0,0,1,0,0,59,13.9,14.9,16.9,2,2,2015,ATL,RB,24,1
88074,4232,TW-0650,0,0,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,3,1.1,1.1,1.1,2,1,2015,ATL,RB,33,3
