pid,psr,trg,loc,yds,comp,succ,spk,dfb
692686,RF-0500,ED-0200,SR,0,0,0,0,JH-5900
692688,RF-0500,BM-0300,SL,6,1,0,0,
692690,TT-0500,SW-0450,SR,0,0,0,0,
692692,TT-0500,CH-3350,DR,0,0,0,0,
692698,RF-0500,KT-0450,DL,0,0,0,0,
692700,TT-0500,NO-0150,SR,0,0,0,0,DH-1400
692701,TT-0500,KW-1150,SL,0,1,0,0,
692702,TT-0500,KW-1150,SM,0,1,0,0,
692704,RF-0500,QE-0100,SL,0,0,0,0,CG-1700
692705,RF-0500,KD-0400,SM,0,0,0,0,
692715,RF-0500,BM-0300,SL,0,0,0,0,
692716,RF-0500,ED-0200,SL,-1,1,0,0,
692718,TT-0500,SW-0450,SR,6,1,1,0,
692721,TT-0500,SW-0450,SL,7,1,1,0,
692724,TT-0500,SW-0450,SR,13,1,1,0,
692728,TT-0500,SW-0450,SR,0,0,0,0,MW-1800
692729,TT-0500,KW-1150,SL,3,1,0,0,
692734,RF-0500,BM-0300,SR,0,0,0,0,ML-0500
692735,RF-0500,BM-0300,DM,0,0,0,0,
692736,RF-0500,ED-0200,DM,0,0,0,0,
692738,TT-0500,CH-3350,SR,0,0,0,0,
692740,TT-0500,SW-0450,DL,0,0,0,0,DR-1100
692742,RF-0500,BM-0300,DL,41,1,1,0,
692743,RF-0500,SR-0700,SM,2,1,0,0,
692744,RF-0500,BM-0300,DM,17,1,1,0,
692749,TT-0500,SW-0450,SL,15,1,1,0,
692751,TT-0500,SW-0450,SL,16,1,1,0,
692753,TT-0500,GS-0100,DL,0,0,0,0,
692754,TT-0500,GS-0100,SL,12,1,1,0,
692761,TT-0500,SW-0450,SM,4,1,0,0,
692771,RF-0500,QE-0100,SM,0,0,0,0,DW-3950
692772,RF-0500,QE-0100,SM,0,0,0,0,
692776,TT-0500,SW-0450,SL,9,1,1,0,
692779,TT-0500,GS-0100,SL,9,1,1,0,
692781,TT-0500,SW-0450,SR,38,1,1,0,
692784,TT-0500,GS-0100,SL,0,0,0,0,BS-2300
692785,TT-0500,SW-0450,SL,8,1,1,0,
692791,RF-0500,BM-0300,SL,10,1,1,0,
692793,RF-0500,BM-0300,SL,16,1,1,0,
692794,RF-0500,QE-0100,SM,5,1,1,0,
692795,RF-0500,BM-0300,SL,0,0,0,0,
692796,RF-0500,ED-0200,SR,5,1,1,0,
692797,RF-0500,KT-0450,DR,0,0,0,0,
692798,RF-0500,ED-0200,SL,15,1,1,0,
692799,RF-0500,,NL,0,0,0,0,
692800,RF-0500,BM-0300,SL,0,0,0,0,LM-1100
692801,RF-0500,ED-0200,DM,21,1,1,0,
692805,TT-0500,SW-0450,SR,6,1,1,0,
692809,RF-0500,BM-0300,SR,15,1,1,0,
692810,RF-0500,KT-0450,DL,0,0,0,0,
692815,RF-0500,ED-0200,SR,10,1,1,0,
692816,RF-0500,BM-0300,SR,0,0,0,0,
692817,RF-0500,ED-0200,DL,0,0,0,0,
692819,TT-0500,SW-0450,SL,0,0,0,0,DR-1100
692820,TT-0500,GS-0100,SL,20,1,1,0,
692822,TT-0500,CH-3350,SL,2,1,0,0,
692823,TT-0500,SW-0450,SL,14,1,1,0,
692829,TT-0500,MG-0650,DL,0,0,0,0,
692832,RF-0500,BM-0300,SL,9,1,1,0,
692834,RF-0500,BM-0300,SR,0,0,0,0,MB-5300
692835,RF-0500,BM-0300,SR,12,1,1,0,
692836,RF-0500,SR-0700,SR,-2,1,0,0,
692838,RF-0500,BM-0300,DM,0,0,0,0,
692844,RF-0500,KT-0450,DR,0,0,0,0,MB-5300
692845,RF-0500,ED-0200,DM,0,0,0,0,
692848,RT-0150,JL-0215,SL,11,1,1,0,
692850,RT-0150,JL-0215,SL,0,0,0,0,JC-3550
692851,RT-0150,KS-2350,DL,0,0,0,0,
692855,TB-2300,BB-2250,SM,6,1,0,0,
692859,RT-0150,JL-0215,DL,0,0,0,0,
692860,RT-0150,DW-3125,SL,9,1,1,0,
692865,RT-0150,LM-1150,SR,3,1,0,0,
692866,RT-0150,KS-2350,SR,0,0,0,0,
692878,RT-0150,GJ-0400,SR,23,1,1,0,
692881,RT-0150,DP-0350,SR,14,1,1,0,
692884,RT-0150,KS-2350,SM,11,1,1,0,
692887,RT-0150,KS-2350,DR,0,0,0,0,LJ-1150
692891,TB-2300,SJ-0200,SL,20,1,1,0,
692900,TB-2300,DA-0900,SL,0,0,0,0,
692903,RT-0150,JC-0400,SM,4,1,1,0,
692905,RT-0150,JL-0215,SL,3,1,0,0,
692907,TB-2300,BL-0100,SL,-1,1,0,0,
692914,TB-2300,JW-2550,SR,-5,1,0,0,
692917,RT-0150,DW-3125,SM,7,1,1,0,
692918,RT-0150,GJ-0400,DR,0,0,0,0,
692919,RT-0150,JL-0215,SM,9,1,1,0,
692920,RT-0150,DP-0350,DR,0,0,0,0,
692921,RT-0150,DP-0350,SL,2,1,0,0,
692922,RT-0150,GJ-0400,DL,31,1,1,0,
692923,RT-0150,JL-0215,SR,0,0,0,0,
692924,RT-0150,DP-0350,SL,15,1,1,0,
692929,TB-2300,KM-0450,SR,4,1,1,0,
692931,TB-2300,JW-2550,SM,68,1,1,0,
692938,RT-0150,JL-0215,SM,0,0,0,0,JC-3550
692940,TB-2300,DA-0900,DR,0,0,0,0,
692941,TB-2300,KM-0450,SL,0,0,0,0,
692942,TB-2300,RG-2200,SR,0,0,0,0,DM-2950
692944,RT-0150,JC-0400,DR,0,0,0,0,
692946,RT-0150,DP-0350,DL,29,1,1,0,
692949,RT-0150,JC-0400,DR,0,0,0,0,
692952,TB-2300,RG-2200,DR,0,0,0,0,NH-1225
692953,TB-2300,BB-2250,SM,-1,1,0,0,
692955,TB-2300,RG-2200,SL,0,0,0,0,
692956,TB-2300,DA-0900,SL,9,1,1,0,
692958,TB-2300,BL-0100,DM,0,0,0,0,TL-1012
692961,RT-0150,DS-2170,SM,7,1,1,0,
692962,RT-0150,DW-3125,DL,22,1,1,0,
692965,RT-0150,JL-0215,SM,12,1,0,0,
692966,RT-0150,GJ-0400,SR,12,1,0,0,
692969,TB-2300,RG-2200,SR,0,0,0,0,
692971,TB-2300,DA-0900,SM,8,1,0,0,
692973,RT-0150,JL-0215,SM,19,1,1,0,
692974,RT-0150,GJ-0400,SL,8,1,1,0,
692976,RT-0150,JL-0215,DL,0,0,0,0,
692978,RT-0150,LM-1150,SR,0,0,0,0,
692981,TB-2300,BL-0100,SL,8,1,1,0,
692983,TB-2300,RG-2200,SL,12,1,1,0,
692984,TB-2300,RG-2200,DL,0,0,0,0,BM-0800
692986,TB-2300,RG-2200,SR,6,1,0,0,
692988,RT-0150,DS-2170,SR,11,1,1,0,
692990,RT-0150,JL-0215,SM,18,1,1,0,
692991,RT-0150,DP-0350,DR,46,1,1,0,
692993,RT-0150,JC-0400,SL,2,1,1,0,
693006,RT-0150,DS-2170,DL,22,1,1,0,
693012,JG-0650,JW-2550,SL,0,0,0,0,
693013,JG-0650,CH-1290,SL,6,1,1,0,
693014,JG-0650,SC-0400,SL,0,0,0,0,MT-0850
693015,JG-0650,BL-0100,SM,0,0,0,0,
693020,DB-3800,TC-0050,SM,9,1,1,0,
693021,DB-3800,BC-1850,DL,0,0,0,0,
693023,DB-3800,BC-2325,SM,5,1,0,0,
693025,MR-2500,LT-0550,SM,8,1,1,0,
693030,MR-2500,JJ-4700,DL,0,0,0,0,
693032,MR-2500,JT-0300,SM,12,1,1,0,
693035,MR-2500,JT-0300,SL,0,0,0,0,
693039,DB-3800,TC-0050,SR,36,1,1,0,
693041,DB-3800,BW-0700,DL,22,1,1,0,
693043,DB-3800,JH-4070,SL,0,0,0,0,
693050,MR-2500,JJ-4700,SM,10,1,1,0,
693052,MR-2500,DF-1875,SL,14,1,1,0,
693054,MR-2500,TM-3000,SR,0,0,0,0,
693056,MR-2500,TM-3000,SR,5,1,1,0,
693057,MR-2500,TM-3000,SR,42,1,1,0,
693060,DB-3800,TH-1600,SM,12,1,1,0,
693061,DB-3800,BC-1850,DL,22,1,1,0,
693062,DB-3800,TH-1600,SL,3,1,0,0,
693063,DB-3800,JH-4070,SM,0,0,0,0,PW-1400
693064,DB-3800,TC-0050,SL,8,1,1,0,
693065,DB-3800,BW-0700,DL,0,0,0,0,
693066,DB-3800,TC-0050,SL,6,1,1,0,
693067,DB-3800,BC-2325,SL,4,1,1,0,
693068,DB-3800,BW-0700,SL,13,1,1,0,
693072,MR-2500,JJ-4700,DL,0,0,0,0,
693073,MR-2500,JT-0300,DL,32,1,1,0,
693074,MR-2500,JJ-4700,SR,15,1,1,0,
693076,MR-2500,JT-0300,SL,5,1,0,0,
693077,MR-2500,JH-1350,DR,0,0,0,0,
693079,DB-3800,TH-1600,SR,21,1,1,0,
693081,DB-3800,BC-1850,SL,13,1,1,0,
693082,DB-3800,TH-1600,SL,2,1,0,0,
693083,DB-3800,TH-1600,SL,3,1,0,0,
693084,DB-3800,JH-4070,SR,4,1,0,0,
693085,DB-3800,WS-0925,SL,0,1,0,0,
693087,MR-2500,JJ-4700,SR,27,1,1,0,
693088,MR-2500,RW-2200,DR,0,0,0,0,
693089,MR-2500,JH-1350,SM,6,1,1,0,
693091,MR-2500,RW-2200,SR,10,1,1,0,
693093,MR-2500,JJ-4700,SL,14,1,1,0,
