uid,pid,ptm,pen,desc,cat,pey,act
62383,692687,NYJ,ED-0200,Illegal Touch Pass,3,5,A
62384,692703,NYJ,DM-1550,Offensive Holding,2,10,A
62385,692706,NYJ,CI-0300,12 On-field,3,5,A
62386,692726,NYJ,LW-1350,Unnecessary Roughness,6,11,A
62387,692741,BUF,CH-3350,Unsportsmanlike Conduct,6,15,A
62388,692758,NYJ,SR-0670,Neutral Zone,4,5,A
62389,692759,BUF,CK-0950,False Start,1,5,A
62390,692767,NYJ,DR-1100,Illegal Use of Hands,5,5,A
62391,692780,BUF,CG-1250,Offensive Holding,2,10,A
62392,692813,BUF,ML-0500,Roughing the Passer,6,15,A
62393,692864,MIA,JL-0215,False Start,1,5,A
62394,692877,NE,AB-2700,Defensive Offside,4,4,A
62395,692890,NE,JK-1650,Offensive Holding,2,10,A
62396,692895,MIA,NS-0800,Encroachment,4,5,A
62397,692900,NE,MC-0400,Illegal Use of Hands,2,0,D
62398,692908,MIA,BM-0800,Defensive Holding,5,5,A
62399,692911,MIA,NS-0800,Neutral Zone,4,5,A
62400,692912,MIA,RJ-2000,Defensive Pass Interference,5,24,A
62401,692932,MIA,DC-2837,Illegal Use of Hands,5,4,A
62402,692950,MIA,RT-0150,Delay of Game,3,5,A
62403,692954,MIA,OV-0200,Roughing the Passer,6,15,A
62404,692957,NE,KM-0450,Offensive Pass Interference,2,10,A
62405,692964,MIA,JF-3000,Face Mask,6,15,A
62406,692970,NE,DA-0900,False Start,1,5,A
62407,692979,NE,BB-2250,Running Into the Kicker,6,5,A
62408,692980,NE,DW-1700,Offensive Holding,2,4,A
62409,692999,NE,MS-2100,Illegal Formation,3,0,O
62410,692999,MIA,TP-0650,Defensive Holding,5,0,O
62411,693000,NE,JC-0650,False Start,1,3,A
62412,693001,MIA,DW-3125,Offensive Holding,2,10,A
62413,693044,ATL,VB-0075,Roughing the Passer,6,2,A
62414,693045,NO,ZS-0200,Offensive Holding,2,10,A
62415,693056,NO,DB-3750,Defensive Holding,5,0,D
62416,693090,NO,RH-3300,Face Mask,6,15,A
62417,693104,ATL,LT-0550,Offensive Holding,2,10,A
62418,693106,NO,BR-0350,Roughing the Passer,6,15,A
62419,693117,ATL,PA-0100,Defensive Holding,5,5,A
62420,693129,NO,,12 On-field,3,5,A
62421,693155,NO,BD-0950,Defensive Pass Interference,5,0,D
62422,693160,ATL,AL-0700,Unnecessary Roughness,6,15,A
62423,693176,CIN,JF-1750,False Start,1,5,A
62424,693194,CIN,AW-1100,Offensive Holding,2,10,A
62425,693204,BAL,MY-0100,False Start,1,5,A
62426,693205,BAL,RW-0150,Ineligible Downfield Pass,3,0,D
62427,693205,BAL,,Illegal Formation,3,0,D
62428,693216,BAL,KO-0750,Illegal Formation,3,0,D
62429,693223,CIN,CB-2000,Offensive Holding,2,10,A
62430,693225,CIN,RB-2275,Offensive Holding,2,10,A
62431,693225,CIN,KZ-0050,Ineligible Downfield Pass,3,0,D
62432,693227,CIN,AG-1500,False Start,1,5,A
62433,693244,BAL,WH-0750,Defensive Pass Interference,5,23,A
62434,693279,CIN,CD-2200,Neutral Zone,4,4,A
62435,693284,BAL,SW-2300,Illegal Use of Hands,5,0,D
62436,693300,CIN,CO-0350,False Start,1,5,A
62437,693306,BAL,KO-0750,False Start,1,5,A
62438,693315,BAL,KJ-1400,Offensive Holding,2,5,A
62439,693316,CIN,DK-0750,Defensive Pass Interference,5,11,A
62440,693327,CIN,AM-1150,Delay of Game,3,5,A
62441,693338,CIN,VB-0350,Defensive Holding,5,2,A
62442,693345,CIN,KH-2600,Delay of Game,3,5,A
62443,693360,PIT,CW-0400,False Start,1,5,A
62444,693367,CLE,XC-0100,Defensive Offside,4,0,D
62445,693370,CLE,BM-2850,Illegal Block Above the Waist,7,10,A
62446,693373,PIT,AB-1950,Illegal Contact,5,5,A
62447,693387,CLE,PD-0450,Illegal Contact,5,0,D
62448,693389,PIT,DD-0750,False Start,1,5,A
62449,693397,PIT,SM-2200,Illegal Use of Hands,5,5,A
62450,693414,CLE,JD-2600,False Start,1,5,A
62451,693438,CLE,,Illegal Block Above the Waist,7,7,A
62452,693450,CLE,PK-0300,Defensive Offside,4,5,A
62453,693469,CLE,TP-2400,Unsportsmanlike Conduct,6,15,A
62454,693470,PIT,JH-2100,Illegal Contact,5,5,A
62455,693482,CLE,AP-0370,False Start,1,0,A
62456,693483,CLE,AD-0680,Delay of Game,3,0,A
62457,693489,CLE,TC-0350,Illegal Block Above the Waist,7,0,D
62458,693497,PIT,BD-1200,Defensive Holding,5,5,A
62459,693501,PIT,LT-0400,Defensive Holding,5,5,A
62460,693504,CLE,TP-2400,Illegal Shift,3,5,A
62461,693510,PIT,JB-3275,Delay of Game,3,5,A
62462,693514,PIT,CH-3100,Defensive Offside,4,5,A
62463,693524,JAC,SY-0100,Offensive Holding,2,0,D
62464,693532,HOU,WM-0550,Neutral Zone,4,5,A
62465,693533,JAC,AR-1250,Offensive Pass Interference,2,10,A
62466,693541,JAC,AB-2730,Roughing the Passer,6,8,A
62467,693543,HOU,BB-3230,False Start,1,5,A
62468,693551,HOU,CM-2850,Illegal Block Above the Waist,7,10,A
62469,693556,JAC,JO-0300,Encroachment,4,5,A
62470,693587,JAC,JB-1550,Offensive Holding,2,10,A
62471,693597,HOU,AH-3875,Illegal Shift,3,5,A
62472,693607,HOU,KM-3250,False Start,1,5,A
62473,693615,JAC,RM-4200,Encroachment,4,5,A
62474,693617,HOU,BJ-1950,False Start,1,5,A
62475,693624,JAC,SY-0100,Offensive Holding,2,0,D
62476,693647,HOU,DN-0700,Offensive Holding,2,10,A
62477,693651,HOU,BJ-1950,False Start,1,5,A
62478,693658,JAC,LJ-0750,Offensive Holding,2,10,A
62479,693666,HOU,BB-3230,False Start,1,5,A
62480,693683,JAC,,Illegal Shift,3,5,A
62481,693705,TEN,ZM-0150,Intentional Grounding,3,15,A
62482,693708,IND,JB-6500,Defensive Holding,5,11,A
62483,693727,TEN,WW-0900,Unnecessary Roughness,6,15,A
62484,693731,IND,EW-0100,Face Mask,6,15,A
62485,693743,TEN,JC-1700,Illegal Use of Hands,5,5,A
62486,693754,IND,JB-6500,Offensive Holding,2,10,A
62487,693759,IND,JM-4150,Ineligible Downfield Pass,3,0,D
62488,693777,IND,JN-1350,Unnecessary Roughness,6,15,A
62489,693779,TEN,BB-1600,Offensive Holding,2,10,A
62490,693800,TEN,SH-1000,Encroachment,4,5,A
62491,693815,IND,BW-0920,Face Mask,6,15,A
62492,693825,TEN,JS-6087,Offensive Holding,2,10,A
62493,693840,IND,FG-0200,Delay of Game,3,5,A
62494,693898,DAL,GS-1400,Unnecessary Roughness,6,15,A
62495,693926,DAL,BJ-2350,Illegal Block Above the Waist,7,10,A
62496,693941,DAL,BJ-2350,Offensive Holding,2,9,A
62497,693941,DAL,KW-0960,Illegal Block Above the Waist,7,0,D
62498,693951,WAS,DY-0200,Offensive Holding,2,10,A
62499,693960,WAS,RG-1650,Offensive Pass Interference,2,0,D
62500,693968,WAS,MM-5450,Offensive Holding,2,10,A
62501,693981,WAS,AS-1700,False Start,1,0,A
62502,693986,WAS,,Illegal Contact,5,0,D
62503,693997,DAL,TS-2700,Offensive Holding,2,10,A
62504,694034,NYG,JJ-2100,Offensive Holding,2,0,O
62505,694034,PHI,DR-1350,Illegal Use of Hands,5,0,O
62506,694038,PHI,JP-2400,Tripping,7,1,A
62507,694040,NYG,GS-0800,Neutral Zone,4,5,A
62508,694100,PHI,BA-0350,12 On-field,3,5,A
62509,694141,NYG,OB-0075,False Start,1,5,A
62510,694144,PHI,EB-1100,Defensive Holding,5,5,A
62511,694230,CHI,SM-2300,Face Mask,6,15,A
62512,694238,CHI,,Defensive Offside,4,0,D
62513,694282,DET,RR-0250,False Start,1,5,A
62514,694320,DET,EA-0550,Neutral Zone,4,5,A
62515,694326,DET,EE-0050,Illegal Block Above the Waist,7,4,A
62516,694328,DET,BP-0200,Offensive Holding,2,7,A
62517,694361,OAK,DW-3200,Neutral Zone,4,5,A
62518,694378,OAK,LS-1550,False Start,1,5,A
62519,694404,OAK,DA-0950,Taunting,6,15,A
62520,694415,OAK,JW-1400,False Start,1,5,A
62521,694425,OAK,DA-0950,Defensive Pass Interference,5,9,A
62522,694437,KC,DS-4050,False Start,1,5,A
62523,694440,OAK,KM-0050,Roughing the Passer,6,15,A
62524,694455,OAK,DA-2050,Neutral Zone,4,5,A
62525,694457,KC,LD-1000,Offensive Holding,2,0,D
62526,694478,KC,TK-0150,Offensive Holding,2,10,A
62527,694483,KC,RP-0200,Taunting,6,15,A
62528,694484,KC,RP-0200,Defensive Pass Interference,5,14,A
62529,694495,KC,DJ-1500,Defensive Pass Interference,5,11,A
62530,694515,SD,KR-0460,Defensive Offside,4,0,D
62531,694555,SD,TB-3975,False Start,1,5,A
62532,694571,SD,KW-0930,Offensive Holding,2,10,A
62533,694572,DEN,DW-1100,Defensive Offside,4,5,A
62534,694575,SD,PR-0300,Delay of Game,3,5,A
62535,694579,SD,CM-0150,Illegal Use of Hands,5,0,D
62536,694581,DEN,MS-0525,Offensive Holding,2,10,A
62537,694595,DEN,CN-0450,Defensive Holding,5,5,A
62538,694606,SD,MI-0150,Neutral Zone,4,5,A
62539,694625,DEN,ES-0200,False Start,1,5,A
62540,694631,SD,JB-1400,False Start,1,5,A
62541,694639,SD,DS-3350,Encroachment,4,5,A
62542,694644,SD,JW-0700,Offensive Holding,2,10,A
62543,694662,DEN,LM-1020,Defensive Offside,4,5,A
62544,694663,DEN,SW-1750,Defensive Holding,5,5,A
62545,694678,SEA,RS-1000,Illegal Block Above the Waist,7,10,A
62546,694685,SEA,TL-1025,Offensive Pass Interference,2,10,A
62547,694705,SEA,AR-2000,Face Mask,6,15,A
62548,694733,ARI,TL-0400,False Start,1,5,A
62549,694735,ARI,BG-0750,Face Mask,6,8,A
62550,694755,ARI,CC-0200,Defensive Offside,4,5,A
62551,694766,ARI,AF-1500,Unnecessary Roughness,6,15,A
62552,694779,SEA,AR-2000,Unnecessary Roughness,6,15,A
62553,694800,SEA,RS-1000,Unsportsmanlike Conduct,6,15,A
62554,694803,ARI,BM-0360,False Start,1,5,A
62555,694807,SEA,GG-0335,False Start,1,5,A
62556,694827,ARI,RG-2375,Illegal Use of Hands,5,5,A
62557,694834,STL,CL-1850,Offensive Holding,2,10,A
62558,694840,STL,DB-0975,Face Mask,6,15,A
62559,694851,SF,BM-2600,Unnecessary Roughness,6,15,A
62560,694865,SF,JS-5700,Illegal Formation,3,5,A
62561,694877,STL,JH-3230,Delay of Game,3,0,D
62562,694894,SF,AB-3100,Unnecessary Roughness,6,15,A
62563,694899,STL,DB-0975,Unsportsmanlike Conduct,6,15,A
62564,694912,SF,KA-0150,False Start,1,5,A
62565,694924,STL,TJ-2250,Illegal Contact,5,0,D
62566,694941,SF,IW-0100,Defensive Offside,4,5,A
62567,694944,STL,BQ-0050,Offensive Holding,2,10,A
62568,694946,STL,DR-1275,False Start,1,5,A
62569,694952,SF,AT-0750,Offensive Holding,2,10,A
62570,694954,STL,TJ-2250,Illegal Contact,5,5,A
62571,694963,STL,JH-3230,Delay of Game,3,5,A
62572,694972,STL,AD-1475,Neutral Zone,4,5,A
62573,694974,STL,,12 On-field,3,5,A
62574,694977,STL,JJ-1550,Unsportsmanlike Conduct,6,0,O
62575,694977,SF,BE-0350,Unsportsmanlike Conduct,6,0,O
62576,694986,SF,AT-0750,False Start,1,5,A
62577,694999,STL,AD-1475,Unsportsmanlike Conduct,6,15,A
62578,695021,STL,WH-0300,Roughing the Passer,6,15,A
62579,695059,TB,GJ-0800,Defensive Holding,5,0,D
62580,695062,TB,GM-0500,Encroachment,4,5,A
62581,695100,CAR,TT-1850,False Start,1,5,A
62582,695111,CAR,KS-0850,Defensive Offside,4,5,A
62583,695120,CAR,JN-1750,Defensive Holding,5,5,A
62584,695125,CAR,CN-0500,Illegal Forward Pass,3,3,A
62585,695127,CAR,CN-0500,Delay of Game,3,5,A
62586,695143,CAR,JN-1750,Defensive Offside,4,5,A
62587,695145,TB,BM-1250,Defensive Pass Interference,5,20,A
62588,695159,CAR,CB-3850,Illegal Shift,3,5,A
62589,695174,TB,DS-3037,Offensive Holding,2,10,A
62590,695175,TB,DS-3037,Offensive Holding,2,0,D
62591,695186,TB,ME-0600,Unsportsmanlike Conduct,6,15,A
62592,695186,TB,ME-0600,Disqualification,6,15,A
62593,695205,MIN,TJ-1750,Defensive Offside,4,5,A
62594,695223,GB,JJ-0775,Illegal Block Above the Waist,7,10,A
62595,695240,GB,RL-1350,False Start,1,5,A
62596,695245,GB,CM-0900,Unnecessary Roughness,6,9,A
62597,695253,MIN,TN-0400,Defensive Pass Interference,5,12,A
62598,695263,MIN,TB-2650,Delay of Game,3,5,A
62599,695269,MIN,SF-0150,12 On-field,3,5,A
