gid,pid,off,def,type,dseq,len,qtr,min,sec,ptso,ptsd,timo,timd,dwn,ytg,yfog,zone,fd,sg,nh,pts,tck,sk,pen,ints,fum,saf,blk,olid
4230,692684,NYJ,BUF,KOFF,0,6,1,15,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4230,692685,NYJ,BUF,RUSH,1,35,1,15,0,0,0,3,3,1,10,20,1,0,0,0,0,1,0,0,0,0,0,0,1894
4230,692686,NYJ,BUF,PASS,2,3,1,14,22,0,0,3,3,2,10,20,1,0,1,0,0,0,0,0,0,0,0,0,1894
4230,692687,NYJ,BUF,NOPL,2,32,1,14,19,0,0,3,3,3,10,20,1,0,0,0,0,0,0,1,0,0,0,0,1894
4230,692688,NYJ,BUF,PASS,3,11,1,13,47,0,0,3,3,3,15,15,1,0,1,0,0,1,0,0,0,0,0,0,1894
4230,692689,BUF,NYJ,PUNT,0,12,1,13,36,0,0,3,3,4,9,21,2,0,0,0,0,0,0,0,0,0,0,0,0
4230,692690,BUF,NYJ,PASS,1,5,1,13,24,0,0,3,3,1,10,45,3,0,1,0,0,0,0,0,0,0,0,0,1926
4230,692691,BUF,NYJ,RUSH,2,41,1,13,19,0,0,3,3,2,10,45,3,0,0,0,0,1,0,0,0,1,0,0,1926
4230,692692,BUF,NYJ,PASS,3,7,1,12,38,0,0,3,3,3,10,45,3,0,1,0,0,0,0,0,0,0,0,0,1926
4230,692693,NYJ,BUF,PUNT,0,9,1,12,31,0,0,3,3,4,10,45,3,0,0,0,0,0,0,0,0,0,0,0,0
4230,692694,NYJ,BUF,RUSH,1,40,1,12,22,0,0,3,3,1,10,10,1,0,0,0,0,1,0,0,0,0,0,0,1894
4230,692695,NYJ,BUF,RUSH,2,32,1,11,42,0,0,3,3,2,12,8,1,1,1,0,0,1,0,0,0,0,0,0,1894
4230,692696,NYJ,BUF,RUSH,3,43,1,11,10,0,0,3,3,1,10,21,2,0,0,0,0,1,0,0,0,0,0,0,1894
4230,692697,NYJ,BUF,RUSH,4,40,1,10,27,0,0,3,3,2,9,22,2,0,0,0,0,1,0,0,0,0,0,0,1894
4230,692698,NYJ,BUF,PASS,5,6,1,9,47,0,0,3,3,3,6,25,2,0,1,0,0,0,0,0,0,0,0,0,1894
4230,692699,BUF,NYJ,PUNT,0,11,1,9,41,0,0,3,3,4,6,25,2,0,0,0,0,0,0,0,0,0,0,0,0
4230,692700,BUF,NYJ,PASS,1,9,1,9,30,0,0,3,3,1,10,34,2,0,1,0,0,0,0,0,0,0,0,0,1926
4230,692701,BUF,NYJ,PASS,2,35,1,9,21,0,0,3,3,2,10,34,2,0,0,0,0,1,0,0,0,0,0,0,1926
4230,692702,BUF,NYJ,PASS,3,41,1,8,46,0,0,3,3,3,10,34,2,0,1,0,0,1,0,0,0,0,0,0,1926
4230,692703,NYJ,BUF,PUNT,0,11,1,8,5,0,0,3,3,4,10,34,2,0,0,0,0,0,0,1,0,0,0,0,0
4230,692704,NYJ,BUF,PASS,1,7,1,7,54,0,0,3,3,1,10,12,1,0,1,0,0,0,0,0,0,0,0,0,1894
4230,692705,NYJ,BUF,PASS,2,3,1,7,47,0,0,3,3,2,10,12,1,0,0,0,0,0,0,0,0,0,0,0,1894
4230,692706,NYJ,BUF,NOPL,2,20,1,7,44,0,0,3,3,3,10,12,1,0,0,0,0,0,0,1,0,0,0,0,1894
4230,692707,NYJ,BUF,PASS,3,30,1,7,44,0,0,3,3,3,15,7,1,0,1,0,0,0,1,0,0,0,0,0,1894
4230,692708,BUF,NYJ,PUNT,0,5,1,7,7,0,0,3,3,4,18,4,1,0,0,0,0,0,0,0,0,0,0,0,0
4230,692709,BUF,NYJ,RUSH,1,33,1,7,2,0,0,3,3,1,10,75,4,0,1,0,0,1,0,0,0,0,0,0,1926
4230,692710,BUF,NYJ,RUSH,2,34,1,6,29,0,0,3,3,2,6,79,4,0,1,0,0,1,0,0,0,0,0,0,1926
4230,692711,BUF,NYJ,RUSH,3,12,1,5,55,0,0,3,2,3,3,82,5,1,0,0,7,0,0,0,0,0,0,0,1926
4230,692712,BUF,NYJ,FGXP,3,3,1,5,43,7,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
