pid,punter,pgro,pnet,ptb,pr,pry,pfc
692689,RQ-0050,50,34,0,WP-0650,16,0
692693,CS-0850,45,45,0,JK-1000,0,1
692699,RQ-0050,41,41,0,,0,0
692703,CS-0850,50,41,0,JK-1000,9,0
692708,RQ-0050,21,21,0,,0,0
692717,RQ-0050,49,49,0,,0,0
692741,CS-0850,51,51,0,,0,0
692807,CS-0850,48,44,0,JK-1000,4,0
692842,CS-0850,49,43,0,JK-1000,6,0
692852,MD-0125,51,51,0,KM-0450,0,1
692856,RA-0850,50,50,0,JL-0215,0,1
692875,RA-0850,61,41,1,,0,0
692906,MD-0125,54,37,0,KM-0450,17,0
692939,MD-0125,56,46,0,KM-0450,10,0
692943,RA-0850,48,39,0,JL-0215,9,0
692951,MD-0125,45,25,1,,0,0
692959,RA-0850,56,45,0,JL-0215,11,0
692972,RA-0850,41,41,0,JL-0215,0,1
692980,MD-0125,37,37,0,DA-0900,0,1
692987,RA-0850,51,51,0,,0,0
693001,RA-0850,54,31,0,JL-0215,23,0
693024,TM-3300,50,50,0,DH-2700,0,1
693110,MB-3000,45,45,0,TC-0050,0,1
693161,MB-3000,29,29,0,JB-8800,0,1
693165,TM-3300,55,55,0,DH-2700,0,1
693180,KH-2600,47,45,0,KC-1250,2,0
693187,SK-0600,48,48,0,,0,0
693196,KH-2600,43,39,0,KC-1250,4,0
693207,SK-0600,42,42,0,,0,0
693211,KH-2600,42,38,0,KC-1250,4,0
693229,KH-2600,41,33,0,KC-1250,8,0
693298,SK-0600,42,42,0,,0,0
693303,KH-2600,40,43,0,KC-1250,-3,0
693315,KH-2600,53,53,0,KC-1250,0,0
693320,SK-0600,38,38,0,,0,0
693346,KH-2600,37,37,0,KC-1250,0,1
693377,AL-0500,53,48,0,AB-3500,5,0
693403,AL-0500,37,37,0,,0,0
693407,JB-3275,50,38,0,TB-1060,12,0
693442,AL-0500,53,53,0,AB-3500,0,1
693481,JB-3275,49,49,0,,0,0
693511,JB-3275,57,37,1,,0,0
693525,BA-0850,60,49,0,BD-0150,11,0
693529,SL-0400,50,43,0,RG-1812,7,0
693551,BA-0850,51,48,0,BD-0150,3,0
693577,SL-0400,52,32,0,RG-1812,20,0
693593,BA-0850,56,51,0,BD-0150,5,0
693599,SL-0400,49,36,0,RG-1812,13,0
693620,SL-0400,39,29,0,RG-1812,10,0
693625,BA-0850,35,35,0,BD-0150,0,1
693640,BA-0850,49,50,0,BD-0150,-1,0
693708,BK-0700,51,48,0,QB-0250,3,0
693712,PM-0300,35,35,0,,0,0
693716,BK-0700,51,52,0,QB-0250,-1,0
693754,BK-0700,44,44,0,QB-0250,0,1
693761,PM-0300,50,50,0,,0,0
693765,BK-0700,51,49,0,QB-0250,2,0
693804,PM-0300,29,29,0,,0,0
693809,BK-0700,52,52,0,QB-0250,0,1
693813,PM-0300,58,49,0,HD-0300,9,0
693825,PM-0300,44,44,0,HD-0300,0,0
693829,BK-0700,51,34,0,QB-0250,17,0
693858,CJ-2100,45,45,0,,0,0
693863,TW-1175,48,48,0,LW-1150,0,1
693867,CJ-2100,44,40,0,JC-5680,4,0
693900,CJ-2100,47,45,0,JC-5680,2,0
693926,TW-1175,56,52,0,LW-1150,4,0
693941,TW-1175,58,56,0,LW-1150,2,0
693946,CJ-2100,51,51,0,JC-5680,0,1
693966,CJ-2100,44,44,0,,0,0
693994,TW-1175,38,38,0,LW-1150,0,1
694036,BW-2625,42,42,0,,0,0
694042,DJ-2800,38,38,0,,0,0
694123,BW-2625,36,36,0,,0,0
694136,DJ-2800,43,38,0,OB-0075,5,0
694154,BW-2625,29,29,0,,0,0
694190,DJ-2800,43,23,1,,0,0
694230,SM-0650,58,39,0,MM-0900,19,0
694235,PO-0050,47,47,0,GT-0100,0,1
694250,PO-0050,55,55,0,,0,0
694284,SM-0650,40,33,0,MM-0900,7,0
694332,SM-0650,45,45,0,MM-0900,0,1
694360,MK-0760,36,36,0,,0,0
694391,DC-3200,37,37,0,,0,0
694397,MK-0760,57,50,0,FH-0100,7,0
694410,DC-3200,30,30,0,JR-3270,0,1
694418,MK-0760,52,46,0,FH-0100,6,0
694424,MK-0760,55,46,0,FH-0100,9,0
694431,DC-3200,41,41,0,JR-3270,0,1
694435,MK-0760,-7,-7,0,,0,0
694450,MK-0760,30,30,0,,0,0
694458,DC-3200,38,38,0,JR-3270,0,1
694465,MK-0760,41,41,0,,0,0
694491,DC-3200,32,32,0,JR-3270,0,1
