uid,gid,player,pa,pc,py,ints,ra,sra,ry,trg,rec,recy,fuml,peny
42787,4230,TT-0500,3,2,7,0,3,1,30,0,0,0,0,0
42788,4230,KW-1150,0,0,0,0,2,2,8,1,1,3,0,0
42789,4230,SW-0450,0,0,0,0,0,0,0,2,1,4,0,0
42790,4230,RF-0500,4,2,19,1,0,0,0,0,0,0,0,0
42791,4230,SR-0700,0,0,0,0,0,0,0,1,1,2,0,0
42792,4230,BM-0300,0,0,0,0,0,0,0,2,1,17,0,0
42793,4230,MG-0650,0,0,0,0,3,0,-4,0,0,0,0,0
42794,4230,CH-3350,0,0,0,0,1,0,4,0,0,0,0,0
42795,4230,AD-1300,0,0,0,0,1,0,3,0,0,0,0,0
42796,4230,ED-0200,0,0,0,0,0,0,0,1,0,0,0,0
42797,4231,JL-0215,0,0,0,0,0,0,0,1,0,0,0,5
42798,4231,RT-0150,4,2,17,0,0,0,0,0,0,0,0,0
42799,4231,KS-2350,0,0,0,0,0,0,0,1,0,0,0,0
42800,4231,BB-2250,0,0,0,0,2,0,4,0,0,0,0,0
42801,4231,TB-2300,1,0,0,0,0,0,0,0,0,0,0,0
42802,4231,DA-0900,0,0,0,0,0,0,0,1,0,0,0,0
42803,4231,DP-0350,0,0,0,0,0,0,0,1,1,15,0,0
42804,4231,SJ-0200,0,0,0,0,1,1,2,0,0,0,0,0
42805,4231,JA-0450,0,0,0,0,2,1,4,0,0,0,0,0
42806,4231,JC-0400,0,0,0,0,0,0,0,1,1,2,0,0
42807,4231,LM-1150,0,0,0,0,2,1,6,0,0,0,0,0
42808,4232,TH-1600,0,0,0,0,6,6,29,0,0,0,0,0
42809,4232,DB-3800,6,5,31,0,2,0,-4,0,0,0,0,0
42810,4232,JH-4070,0,0,0,0,0,0,0,1,0,0,0,0
42811,4232,BC-2325,0,0,0,0,0,0,0,1,1,4,0,0
42812,4232,BW-0700,0,0,0,0,0,0,0,2,2,18,0,0
42813,4232,WS-0925,0,0,0,0,0,0,0,1,1,0,0,0
42814,4232,MR-2500,3,3,24,0,0,0,0,0,0,0,0,0
42815,4232,JJ-4700,0,0,0,0,0,0,0,1,1,14,0,0
42816,4232,DF-1875,0,0,0,0,4,1,2,1,1,4,1,0
42817,4232,JH-1350,0,0,0,0,0,0,0,1,1,6,0,0
42818,4232,TC-0050,0,0,0,0,1,0,1,1,1,9,1,0
42819,4233,JA-1025,0,0,0,0,2,1,3,2,1,13,0,0
42820,4233,RM-0300,4,3,17,0,0,0,0,0,0,0,0,0
42821,4233,JH-4025,0,0,0,0,1,0,3,0,0,0,0,0
42822,4233,AM-1150,2,2,17,0,1,0,-2,0,0,0,0,0
42823,4233,AG-1500,0,0,0,0,0,0,0,2,2,17,0,0
42824,4233,JB-8550,0,0,0,0,0,0,0,1,1,2,0,0
42825,4233,KJ-1400,0,0,0,0,0,0,0,1,1,2,0,0
42826,4234,BR-1100,7,5,37,0,0,0,0,0,0,0,0,0
42827,4234,DW-3600,0,0,0,0,0,0,0,1,1,6,0,0
42828,4234,HM-0200,0,0,0,0,0,0,0,1,1,2,0,0
42829,4234,IC-0300,0,0,0,0,4,2,6,0,0,0,0,0
42830,4234,AD-0680,13,3,23,1,0,0,0,0,0,0,0,0
42831,4234,TB-1060,0,0,0,0,0,0,0,3,0,0,0,0
42832,4234,GB-0200,0,0,0,0,0,0,0,4,1,6,0,0
42833,4234,DJ-1850,0,0,0,0,1,0,0,1,0,0,0,0
42834,4234,JD-2600,0,0,0,0,0,0,0,0,0,0,0,5
42835,4234,DJ-0850,0,0,0,0,0,0,0,3,2,17,0,0
42836,4234,MW-1250,0,0,0,0,0,0,0,2,1,8,0,0
42837,4234,AB-3500,0,0,0,0,0,0,0,3,2,21,0,0
42838,4234,TP-2400,0,0,0,0,0,0,0,2,0,0,0,15
42839,4234,FT-0300,0,0,0,0,1,0,0,0,0,0,0,0
42840,4235,BH-1900,5,2,14,0,0,0,0,0,0,0,0,0
42841,4235,JS-7075,0,0,0,0,0,0,0,1,1,2,0,0
42842,4235,DH-3950,0,0,0,0,0,0,0,2,0,0,0,0
42843,4235,NW-0100,0,0,0,0,0,0,0,1,0,0,0,0
42844,4235,AB-1975,0,0,0,0,1,0,1,0,0,0,0,0
42845,4235,JG-3850,1,0,0,0,2,2,8,1,1,12,0,0
42846,4235,CF-0375,0,0,0,0,0,0,0,1,0,0,0,0
42847,4235,BB-2425,3,2,11,0,0,0,0,0,0,0,1,0
42848,4235,AH-3900,0,0,0,0,0,0,0,1,1,6,0,0
42849,4235,JG-3050,0,0,0,0,1,0,0,0,0,0,0,0
42850,4235,ML-0650,0,0,0,0,0,0,0,1,1,5,0,0
42851,4235,RG-1812,0,0,0,0,0,0,0,1,0,0,0,0
42852,4236,ZM-0150,2,1,0,0,1,1,5,0,0,0,0,0
42853,4236,DC-2550,0,0,0,0,3,2,6,0,0,0,0,0
42854,4236,DG-2650,0,0,0,0,0,0,0,2,1,5,0,0
42855,4236,DW-0500,0,0,0,0,0,0,0,2,2,9,0,0
42856,4236,RL-0950,2,1,18,0,0,0,0,0,0,0,0,0
42857,4236,PD-0800,0,0,0,0,0,0,0,1,0,0,0,0
42858,4236,AJ-0900,0,0,0,0,0,0,0,2,1,18,0,0
42859,4236,BS-0650,0,0,0,0,1,0,5,0,0,0,0,0
42860,4236,AT-0160,2,2,14,0,0,0,0,0,0,0,0,0
42861,4236,FG-0200,0,0,0,0,2,0,5,0,0,0,0,5
42862,4236,JF-3100,1,0,0,0,0,0,0,0,0,0,0,0
42863,4237,KC-2350,6,3,13,0,0,0,0,0,0,0,0,0
42864,4237,RG-1650,0,0,0,0,0,0,0,2,1,5,0,0
42865,4237,AM-2850,0,0,0,0,3,2,15,0,0,0,0,0
42866,4237,PG-0100,0,0,0,0,0,0,0,1,0,0,0,0
42867,4237,JC-5680,0,0,0,0,0,0,0,3,1,3,0,0
42868,4237,PT-0400,0,0,0,0,1,0,1,0,0,0,0,0
42869,4237,JR-1150,0,0,0,0,0,0,0,1,1,5,0,0
42870,4237,DM-1600,0,0,0,0,1,1,3,0,0,0,0,0
42871,4237,KM-2560,10,5,36,1,0,0,0,0,0,0,0,0
42872,4237,JW-6000,0,0,0,0,0,0,0,3,2,13,0,0
42873,4237,CB-1130,0,0,0,0,0,0,0,4,3,23,0,0
42874,4237,CT-1220,0,0,0,0,1,0,3,0,0,0,0,0
42875,4237,CM-1500,1,0,0,0,2,0,-2,0,0,0,0,0
42876,4237,DS-4750,0,0,0,0,0,0,0,1,0,0,0,0
42877,4237,BB-4100,0,0,0,0,0,0,0,2,0,0,0,0
42878,4238,EM-0200,7,2,21,0,0,0,0,0,0,0,1,0
42879,4238,MW-1475,0,0,0,0,0,0,0,2,0,0,0,0
42880,4238,SV-0200,0,0,0,0,1,1,2,1,1,12,0,0
42881,4238,WT-0600,0,0,0,0,0,0,0,2,1,9,0,0
42882,4238,DS-3300,0,0,0,0,1,1,6,0,0,0,0,0
42883,4238,RJ-0800,0,0,0,0,6,5,25,0,0,0,0,0
42884,4238,RR-0130,0,0,0,0,0,0,0,1,0,0,0,0
42885,4238,DM-4300,0,0,0,0,1,0,-1,0,0,0,0,0
42886,4238,SB-1100,3,3,23,0,0,0,0,0,0,0,0,0
42887,4238,JM-1550,0,0,0,0,0,0,0,2,2,7,0,0
42888,4238,OB-0075,0,0,0,0,0,0,0,1,0,0,0,0
42889,4238,NA-0050,0,0,0,0,0,0,0,1,1,16,0,0
42890,4239,MS-4100,3,3,17,0,0,0,0,0,0,0,0,0
42891,4239,AA-0025,0,0,0,0,1,1,3,1,1,7,0,0
42892,4239,TW-3900,0,0,0,0,0,0,0,1,1,9,0,0
42893,4239,JC-6200,4,1,2,1,0,0,0,0,0,0,0,0
42894,4239,MM-0900,0,0,0,0,0,0,0,2,1,2,0,0
42895,4239,MF-1300,0,0,0,0,1,1,5,0,0,0,0,0
