pid,bc,dir,yds,succ,kne
692685,SR-0700,LG,0,0,0
692691,TT-0500,MD,-5,0,0
692694,SR-0700,RT,-2,0,0
692695,SR-0700,RT,13,1,0
692696,SR-0700,LG,1,0,0
692697,SR-0700,LG,3,0,0
692709,KW-1150,RE,4,1,0
692710,KW-1150,LT,3,0,0
692711,TT-0500,LT,18,1,0
692714,SR-0700,RT,2,0,0
692719,MG-0650,MD,2,0,0
692720,KW-1150,RG,3,1,0
692722,MG-0650,LE,2,1,0
692723,KW-1150,LE,6,1,0
692725,MG-0650,MD,9,1,0
692726,MG-0650,MD,0,0,0
692727,KW-1150,LE,6,1,0
692730,KW-1150,MD,2,1,0
692733,CI-0300,RG,58,1,0
692739,MG-0650,RE,-1,0,0
692747,MG-0650,RT,7,1,0
692748,MG-0650,MD,0,0,0
692750,MG-0650,RG,1,0,0
692752,MG-0650,RG,1,0,0
692755,MG-0650,MD,2,0,0
692756,CH-3350,LE,4,0,0
692757,TT-0500,MD,1,0,0
692760,MG-0650,LT,-4,0,0
692762,TT-0500,LT,11,0,0
692765,CI-0300,RG,7,1,0
692768,MG-0650,RG,1,0,0
692769,MG-0650,MD,-3,0,0
692770,SR-0700,MD,2,0,0
692775,MG-0650,RT,4,1,0
692777,MG-0650,RE,-1,0,0
692778,TT-0500,LE,4,0,0
692782,MG-0650,RG,0,0,0
692783,TT-0500,MD,4,0,0
692786,AD-1300,RG,3,0,0
692787,MG-0650,LT,-2,0,0
692792,CI-0300,MD,5,1,0
692804,MG-0650,LE,2,0,0
692808,CI-0300,RG,5,1,0
692811,SR-0700,RG,9,1,0
692812,RF-0500,RG,3,1,0
692814,SR-0700,MD,1,0,0
692818,MG-0650,RE,3,1,0
692821,MG-0650,LG,0,0,0
692824,TT-0500,LE,3,1,0
692825,AD-1300,MD,3,0,0
692826,TT-0500,LT,7,1,0
692827,MG-0650,RG,2,0,0
692828,MG-0650,RG,2,0,0
692833,CI-0300,MD,3,1,0
692837,CI-0300,LG,3,0,0
692839,MG-0650,MD,-1,0,0
692840,MG-0650,MD,2,0,0
692841,TT-0500,LG,4,0,0
692843,RF-0500,LG,9,1,0
692846,TT-0500,NL,-1,0,1
692849,LM-1150,MD,3,0,0
692853,SJ-0200,LG,3,0,0
692854,SJ-0200,RG,-1,0,0
692857,LM-1150,LG,29,1,0
692858,LM-1150,MD,2,0,0
692861,DW-3125,MD,8,1,0
692862,DW-3125,MD,3,1,0
692863,LM-1150,LT,5,1,0
692869,SJ-0200,LT,6,1,0
692870,SJ-0200,MD,2,0,0
692871,SJ-0200,MD,3,1,0
692872,BB-2250,LG,-1,0,0
692873,BB-2250,MD,3,0,0
692874,BB-2250,RG,6,0,0
692876,JL-0215,RE,5,1,0
692880,LM-1150,LT,6,0,0
692882,LM-1150,RE,2,0,0
692883,LM-1150,MD,-2,0,0
692885,DW-3125,RG,0,0,0
692886,JA-0450,LE,-3,0,0
692889,SJ-0200,LT,5,1,0
692892,BB-2250,LT,5,1,0
692893,BB-2250,LT,10,1,0
692894,SJ-0200,RG,2,0,0
692896,SJ-0200,LT,2,1,0
692897,SJ-0200,LT,5,1,0
692898,BB-2250,RT,1,0,0
