uid,pid,qb,sk,value,ydsl
20989,692707,RF-0500,MW-2300,1,-3
20990,692788,TT-0500,DH-1400,1,0
20991,692806,TT-0500,DH-1400,1,0
20992,692879,RT-0150,GG-0475,1,-8
20993,692996,TB-2300,DS-1760,1,-5
20994,692998,TB-2300,NS-0800,0.5,-9
20995,692998,TB-2300,OV-0200,0.5,-9
20996,693109,MR-2500,CJ-2400,1,-7
20997,693186,RM-0300,GA-0400,1,-10
20998,693228,AM-1150,CM-3250,1,-7
20999,693243,AM-1150,LG-1000,0.5,-3
21000,693243,AM-1150,ZS-0075,0.5,-3
21001,693283,AM-1150,LG-1000,1,-3
21002,693374,AD-0680,RS-0962,0.5,-6
21003,693374,AD-0680,LT-0400,0.5,-6
21004,693376,AD-0680,WA-0100,1,-9
21005,693418,AD-0680,AB-1950,1,-10
21006,693432,AD-0680,AM-2300,1,-9
21007,693486,AD-0680,LT-0400,1,-13
21008,693505,AD-0680,ST-1150,1,-8
21009,693515,AD-0680,ST-1150,1,-8
21010,693524,BB-2425,JW-1100,1,-8
21011,693528,BH-1900,JO-0300,0.5,-7
21012,693528,BH-1900,PT-0450,0.5,-7
21013,693550,BB-2425,WM-0550,1,-6
21014,693580,BH-1900,RM-4200,1,-8
21015,693592,BB-2425,WM-0550,1,-4
21016,693624,BB-2425,WM-0550,1,-4
21017,693644,BB-2425,JW-1100,1,-9
21018,693661,BB-2425,JW-1100,1,-6
21019,693684,BB-2425,WM-0550,0.5,-1
21020,693684,BB-2425,JS-3250,0.5,-1
21021,693689,BB-2425,CC-4550,1,-18
21022,693715,ZM-0150,TM-2050,1,-9
21023,693790,AT-0160,JF-3060,1,-11
21024,693812,JF-3100,DB-0950,1,-7
21025,693828,AT-0160,KL-0200,1,-9
21026,693849,AT-0160,JF-3060,1,-14
21027,693875,KM-2560,RK-0500,1,-8
21028,693925,CM-1500,TM-2850,1,-13
21029,693945,KM-2560,CB-0200,1,-6
21030,693963,KM-2560,FK-0100,1,-5
21031,693984,KM-2560,PS-0550,1,-4
21032,694069,EM-0200,MS-2550,1,-5
21033,694126,SB-1100,RA-1500,1,-5
21034,694145,EM-0200,CB-0800,1,-3
21035,694228,MS-4100,CJ-2175,1,-6
21036,694229,MS-4100,GS-0750,1,0
21037,694247,JC-6200,DT-0150,1,-5
21038,694259,MS-4100,BC-0150,1,0
21039,694262,JC-6200,EA-0550,1,-3
21040,694265,MS-4100,LH-1900,1,-10
21041,694300,JC-6200,CW-3100,1,-3
21042,694323,JC-6200,HN-0300,1,0
21043,694359,DC-0725,RP-0200,1,-1
21044,694432,DC-0725,TB-2400,1,-1
21045,694434,DC-0725,DF-1350,1,-8
21046,694457,AS-1600,SH-0150,1,-9
21047,694460,DC-0725,MD-0300,1,-9
21048,694462,DC-0725,JH-5550,1,-7
21049,694496,DC-0725,FZ-0100,1,-11
21050,694542,BO-0650,SW-1720,1,-8
21051,694557,PR-0300,DW-4250,1,-8
21052,694575,PR-0300,DW-1100,1,-5
21053,694594,PR-0300,VM-0300,1,-8
21054,694650,PM-0200,MI-0150,1,0
21055,694787,RW-3850,DF-1900,1,-16
21056,694804,DS-3800,MB-1900,0.5,-8
21057,694804,DS-3800,CA-1300,0.5,-8
21058,694822,DS-3800,CA-1300,1,0
21059,694966,BG-0100,CL-1400,1,-4
21060,695036,CN-0500,LD-0150,1,-10
21061,695037,CN-0500,KT-0150,1,-10
21062,695074,CN-0500,BC-0600,1,-12
21063,695123,JW-5650,MA-0300,1,-8
21064,695126,CN-0500,TM-1700,1,-6
21065,695179,JW-5650,KL-1400,1,-8
21066,695198,TB-2650,HC-0050,1,0
21067,695228,AR-1300,TJ-1750,0.5,-6
21068,695228,AR-1300,HS-0130,0.5,-6
21069,695235,TB-2650,JP-2000,1,-3
21070,695248,TB-2650,CM-0900,1,-5
21071,695292,AR-1300,EG-0900,1,0
21072,695307,AR-1300,AB-0650,1,-1
21073,695324,AR-1300,EG-0900,1,-7
21074,695332,AR-1300,SF-0150,1,-3
21075,695361,AS-1600,WM-0550,1,-3
21076,695381,BH-1900,AB-0100,1,-12
21077,695390,BH-1900,JH-5550,1,-7
21078,695409,AS-1600,WM-0550,1,-4
21079,695474,BH-1900,AB-0100,1,-5
21080,695480,AS-1600,WM-0550,1,-10
21081,695518,AM-1150,JH-2100,1,-2
21082,695533,BR-1100,RN-0300,1,-10
21083,695544,AM-1150,CH-3100,1,-11
21084,695550,BR-1100,GA-0400,1,-5
21085,695585,AM-1150,JJ-4250,1,-11
21086,695619,BR-1100,VB-0350,1,-12
21087,695630,LJ-1250,CD-2200,0.5,-11
21088,695630,LJ-1250,PS-0300,0.5,-11
21089,695755,RW-3850,EG-0900,1,-9
21090,695756,RW-3850,SF-0150,1,-4
21091,695766,TB-2650,CA-1300,1,-6
21092,695790,TB-2650,BW-0150,1,-9
21093,695800,TB-2650,BI-0150,0.5,-6
21094,695800,TB-2650,KW-2500,0.5,-6
21095,695828,AR-1300,PS-0550,1,-5
21096,695846,KC-2350,CM-0900,1,-12
21097,695880,KC-2350,MN-0300,1,-7
21098,695953,KC-2350,CM-0900,0.5,-9
21099,695953,KC-2350,NP-0130,0.5,-9
21100,695968,KC-2350,NP-0130,1,-6
21101,695981,KC-2350,MN-0300,1,-16
21102,695988,KC-2350,MD-0060,0.5,-9
21103,695988,KC-2350,NP-0130,0.5,-9
21104,696120,AS-1600,CJ-2050,1,-3
21105,696184,CP-0500,NP-0130,1,-5
21106,696221,CP-0500,JP-2000,1,-8
21107,696243,CP-0500,MD-0060,1,-8
21108,696319,AR-1300,DF-1900,1,-10
21109,696344,RW-3850,KS-0850,1,-10
21110,696372,RW-3850,TB-1850,1,-8
21111,696420,CN-0500,FC-0150,1,-10
21112,696426,RW-3850,DE-0500,1,-9
21113,696444,RW-3850,CJ-1300,1,0
21114,696445,RW-3850,JN-1750,1,-14
21115,696543,BR-1100,AS-2400,1,-7
21116,696553,BR-1100,DW-4250,1,-8
21117,696604,PM-0200,JH-2100,1,-7
21118,696649,BR-1100,DW-1100,1,-13
21119,696693,TB-2300,DW-4250,1,-2
21120,696728,TB-2300,VM-0300,0.5,-6
21121,696728,TB-2300,DW-1100,0.5,-6
21122,696739,PM-0200,AB-2700,1,-6
21123,696758,PM-0200,JC-3550,1,-13
21124,696778,TB-2300,VM-0300,1,-6
21125,696784,PM-0200,JC-3550,1,-12
21126,696792,TB-2300,VM-0300,1,-4
21127,696894,CP-0500,KS-0850,1,-1
21128,696924,CP-0500,CJ-1300,1,0
21129,696940,CN-0500,ES-1475,1,-11
21130,697006,CP-0500,KL-1400,1,-7
21131,697031,CN-0500,VM-0300,1,0
21132,697037,CN-0500,DS-4300,1,-8
21133,697044,PM-0200,LK-0600,1,-9
21134,697058,PM-0200,KE-0050,1,-7
21135,697064,TG-0900,CH-1500,1,-4
21136,697097,CN-0500,DW-1100,1,-10
