tid,gid,tname,pts,q1p,q2p,q3p,q4p,rfd,pfd,ifd,ry,ra,py,pa,pc,sk,ints,fum,pu,gpy,pr,pry,kr,kry,ir,iry,pen,top,td,tdr,tdp,tdt,fgm,fgat,fgy,rza,rzc,bry,bpy,srp,s1rp,s2rp,s3rp,spp,s1pp,s2pp,s3pp,lea,ley,lta,lty,lga,lgy,mda,mdy,rga,rgy,rta,rty,rea,rey,r1a,r1y,r2a,r2y,r3a,r3y,qba,qby,sla,sly,sma,smy,sra,sry,dla,dly,dma,dmy,dra,dry,wr1a,wr1y,wr3a,wr3y,tea,tey,rba,rby,sga,sgy,p1a,p1y,p2a,p2y,p3a,p3y,spc,mpc,lpc,q1ra,q1ry,q1pa,q1py,lcra,lcry,lcpa,lcpy,rzra,rzry,rzpa,rzpy,sky,lbs,dbs,sfpy,drv,npy,tb,i20,rtd,lnr,lnp,lbr,lbp,dbr,dbp,nha,s3a,s3c,l3a,l3c,stf,dp,fsp,ohp,pbep,dlp,dsp,dum,pfn,snpo,snpd
8459,4230,NYJ,17,0,7,10,0,4,10,1,122,17,178,37,16,1,3,0,4,161,4,21,2,30,0,0,41,21,2,0,2,0,1,2,39,2,1,71,62,9,5,3,1,12,4,6,2,0,0,0,0,5,16,4,11,5,64,3,13,0,0,11,70,5,31,1,3,2,12,10,55,5,7,9,40,4,41,6,38,2,0,25,176,8,5,1,0,2,0,42,384,13,65,15,85,10,28,5,5,6,6,17,8,2,7,33,12,44,0,0,4,19,3,2,0,309,12,145,0,0,0,18.5,1,17,6,3.5,9,1,2,1,8,1,2,0,0,1,2,1,1,1,0,57,75
8460,4230,BUF,22,7,9,3,3,5,10,3,114,44,182,28,18,2,0,1,5,243,1,16,2,52,3,3,45,39,2,2,0,0,3,3,99,4,2,29,58,11,5,1,5,13,4,3,6,7,27,6,33,2,4,13,16,8,13,2,11,4,5,19,42,15,15,8,52,9,47,14,115,2,4,8,63,3,0,0,0,1,0,15,136,8,43,1,0,4,3,61,354,7,64,9,37,14,81,5,9,4,9,42,8,26,10,25,5,36,10,41,4,7,0,0,0,411,12,222,0,3,0,8,2,2.5,3,6.5,9,0,4,3,12,4,12,0,1,1,0,0,0,2,0,75,57
8461,4231,NE,10,0,3,7,0,4,3,5,71,28,126,25,13,2,0,0,7,361,2,27,0,0,0,0,41,29,1,1,0,0,1,2,34,2,1,10,88,10,5,3,2,7,2,3,2,0,0,8,37,5,6,6,14,5,11,2,3,0,0,11,30,11,27,4,14,0,0,11,54,5,73,5,5,1,0,1,0,2,0,4,17,7,17,8,18,6,80,29,161,9,6,7,29,11,83,4,7,2,8,21,1,6,3,2,6,12,3,6,1,0,14,0,0,283,12,298,1,2,0,17.5,2,7.5,4.5,7,15.5,2,3,3,9,0,5,0,2,4,1,1,0,1,0,60,75
8462,4231,MIA,20,3,7,0,10,4,16,0,98,36,342,38,25,1,0,0,5,243,3,43,0,0,0,0,93,31,2,0,2,0,2,3,57,4,2,48,173,9,5,3,1,20,7,6,7,2,-3,2,11,2,27,8,40,4,-1,5,6,9,18,17,59,12,20,3,19,1,19,8,50,9,87,8,63,7,104,0,0,6,46,20,157,6,106,7,46,5,41,48,312,12,98,12,104,15,140,5,11,9,11,61,11,63,11,34,7,99,4,10,4,17,8,0,0,355,12,196,1,2,0,11.5,3.5,4,5.5,9.5,4,20,3,1,13,6,16,0,1,1,1,2,4,2,0,75,60
8463,4232,NO,20,7,7,3,3,6,16,2,69,24,323,43,32,0,0,1,2,105,0,0,2,75,1,3,45,29.5,2,1,1,0,2,2,71,5,2,21,144,15,8,5,2,23,10,9,4,1,9,5,10,2,9,0,0,7,11,4,25,1,5,11,46,7,12,2,11,1,-3,18,104,6,37,7,95,8,65,3,22,1,0,6,22,12,116,14,67,11,118,36,263,18,133,16,135,9,55,12,14,6,7,25,6,72,9,20,14,95,8,27,6,31,0,0,0,238,9,105,0,1,0,9.5,1,6.5,6,9,14,0,3,2,5,3,4,0,0,1,1,0,2,2,0,68,67
8464,4232,ATL,17,3,14,0,0,5,18,2,92,26,327,36,24,1,1,1,2,74,0,0,3,73,0,0,32,30.5,2,0,2,0,1,2,51,2,1,21,157,10,5,4,1,22,8,7,7,9,37,6,17,2,9,1,-4,2,16,2,6,4,7,17,48,8,33,1,7,1,-4,7,52,11,62,10,132,5,61,1,27,2,0,15,159,6,34,10,116,5,25,25,188,14,117,12,126,11,84,3,14,7,10,48,7,44,3,1,7,75,4,2,3,24,7,0,0,140,8,74,0,2,0,6,2,6,11,6,16,2,3,3,6,3,6,0,0,1,0,0,1,2,0,67,68
8465,4233,BAL,16,0,9,0,7,2,18,2,59,21,282,54,30,1,2,0,4,170,6,15,5,121,0,0,38,29,1,0,1,0,3,3,127,2,1,14,41,8,5,2,1,21,4,6,11,0,0,4,14,1,0,2,1,0,0,12,26,2,18,14,43,6,14,1,2,1,4,14,62,13,106,16,88,3,0,2,36,6,0,13,76,17,108,10,53,14,55,46,259,15,47,19,90,21,145,10,11,9,6,22,10,34,0,0,2,0,2,3,4,17,10,1.5,0,311,12,170,0,3,0,11.5,4,10,5,3.5,8,0,3,3,13,6,5,0,2,1,3,0,2,0,0,80,61
8466,4233,CIN,24,0,7,14,3,5,11,1,146,29,147,27,17,3,0,0,7,303,0,0,1,12,2,14,72,31,3,1,2,0,1,1,52,2,1,73,45,10,5,4,1,15,5,10,0,0,0,4,33,4,49,3,10,7,30,6,13,2,12,14,49,8,48,4,50,2,4,3,16,5,32,13,67,2,22,0,0,1,23,7,40,5,38,4,51,8,31,28,179,11,36,13,119,6,-8,3,12,2,8,37,7,24,3,3,0,0,1,3,2,17,13,0,0,406,12,288,0,2,0,8.5,1.5,10,7.5,2.5,21,0,2,1,5,0,3,0,3,3,3,1,2,0,0,61,80
8467,4234,PIT,28,7,7,3,11,0,16,0,32,21,349,36,24,0,2,1,3,156,1,5,2,39,2,13,45,26,3,0,3,0,2,3,60,4,3,0,179,5,3,2,0,21,8,11,2,1,-3,0,0,9,15,0,0,5,16,2,4,0,0,12,22,4,13,1,-3,0,0,9,75,7,30,8,22,5,46,4,133,3,37,22,244,8,68,4,18,2,13,37,316,13,80,16,199,7,64,6,8,10,4,2,13,107,2,4,4,35,1,0,7,37,0,3,2,455,13,124,1,0,0,3,2.5,12.5,12.5,7.5,15,2,2,2,2,0,5,0,2,0,1,1,5,0,0,56,83
8468,4234,CLE,12,3,6,0,3,5,12,5,86,23,177,46,24,7,2,2,3,143,1,12,5,120,2,50,47,34,0,0,0,0,4,4,130,5,0,32,82,11,6,4,1,19,9,6,4,3,11,2,-1,4,10,1,1,5,20,7,41,1,4,10,33,12,52,1,1,3,22,20,75,12,72,11,51,3,42,0,0,0,0,11,53,16,87,13,66,6,34,54,187,21,81,13,46,19,50,7,12,5,4,13,10,6,0,0,4,7,5,6,14,13,63,0,0,432,12,138,0,1,0,8,0,8,5,1,15,3,2,2,11,3,9,0,2,0,2,2,1,1,3,83,56
